"","unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"12",12,"T0000100","flat",0.0373,6.4368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"T0000100","flat",0.0286,6.5602,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51200,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,49800,50200,49800,49800,49800,50200,50200,50200,49800,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50700,50200,50200
"14",14,"T0000100","short",0.0061,6.7266,56600,56600,56600,56600,56600,56600,56600,56600,56600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56100,56100,56100,56100,56600
"15",15,"T0000100","short",0.0051,7.2478,NA,NA,NA,NA,NA,70300,70300,70300,70300,70300,71700,71700,71700,71700,71700,70800,70800,70800,70800,70800,70800,70800,70800,70800,70800,71200,71200,71200,71200,71200,69800,69800,69800,69800,69800,71700,71700,71700,71700,71700,70800,70800,70800,70800,70800,70300,70300,70300,70300,70800
"16",16,"T0000100","short-ur",0.0087,7.8156,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,56100,56100,56100,57100,57100,57100,60500,60500,60500,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500
"17",17,"T0000100","short-ur",0.004,7.9733,NA,NA,NA,NA,NA,NA,NA,57100,57100,57100,57100,57100,57100,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62900,62900,62900,62900,62900,62900,63400,63400,63400,63400,63400,63400,63400
"18",18,"T0000100","step down",0.0286,8.1756,NA,NA,NA,62900,NA,63900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46800,46800,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"T0000100","short",0.0076,8.3696,56100,56100,56100,56100,55600,55600,55600,56600,56600,56600,56100,56100,56100,56100,56600,56600,56600,57600,57600,57600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,56600
"20",20,"T0000100","short",0.0071,8.5396,59500,59500,59500,59500,60000,60000,60000,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60000,60000,60000,60000,60000,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"T0000100","short-ur",0.0081,8.7654,58500,58500,58500,58500,NA,NA,NA,63400,63400,63400,NA,NA,NA,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,68800,69800,69800,69800,69800,69800,69800,69800,69800,69800,68800,68800,68800,69300,69300,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"T0000100","flat",0.0312,9.4151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,47800,NA,NA,NA,NA,NA,NA,47300,47300,47300,47300,NA,NA,NA,NA,47300,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,NA,47300,NA,NA,47300,47300,NA
"23",23,"T0000100","flat",0.0117,9.6143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,56100,56100,56100,56100,56100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"T0000100","flat",0.0133,9.7812,NA,NA,53200,53200,53200,53200,53200,53200,53700,53700,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54100,54100,54600,54600,55100,55100,55100,55100,55100,55100,55600,55600,55100,55100,55100,NA,NA,NA,NA,NA,NA,55100,55100,NA,NA,NA,NA,NA,NA
"25",25,"T0000100","flat",0.0163,9.9363,NA,NA,48800,48800,NA,NA,NA,49800,NA,NA,48800,NA,NA,NA,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,NA,NA,48800,NA,NA,NA,NA
"26",26,"T0000100","flat",0.0312,25.2093,50200,50200,50700,50700,50700,50700,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51700,52200,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200
"27",27,"T0000100","short",0.0107,29.7943,NA,NA,NA,NA,NA,46800,46800,47800,47800,47800,47300,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,48300,48300,48300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"T0000100","flat-z",0.0209,29.954,45400,45400,45400,45400,45400,45400,45400,45400,45800,45400,45800,45400,45800,45800,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45800,45800,45400,45400,45400,45400,45800,45400,45800,45400,45400,45400,45400,45400,45400,NA,NA,41900,41900,42400,42400,42400,41900
"29",29,"T0000100","flat harmx",0.0424,32.3911,NA,NA,51700,51700,51700,51700,NA,NA,NA,NA,52200,52200,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53700,53200,53200,53200,53200,52700,52700,52200,52200,52200,52200,51700,51700,51700,53700,53200,53700,54100,54100,53700,53700,53200,52700
"30",30,"T0000100","short",0.0035,35.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"T0000100","short",0.002,36.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"T0000100","flat",0.0419,36.162,NA,NA,NA,47300,47800,47300,NA,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,46800,46300,45800,45800,46300,45800,46300,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,45800,46300,46300,46300,NA,NA
"33",33,"T0000100","flat",0.025,36.3391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,47300,47300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33200,NA,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,48300,48300,48300,48300,47800,NA
"34",34,"T0000100","flat",0.0158,36.9945,50200,50200,50200,50200,50200,50200,50200,50200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50200,50700,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,NA,NA,NA,NA,NA,50700,50700,51200,51200,51200,51200,51200
"35",35,"T0000100","flat",0.0307,38.2556,49300,50200,49800,49800,50200,50200,50200,50200,50700,50700,50700,50700,50200,50200,50700,50700,NA,NA,51200,50700,50700,51200,51200,51200,51200,51200,51200,51700,51200,51200,51200,NA,51700,51700,51700,51700,52200,52200,52200,52200,52200,52200,51700,NA,52700,52700,52700,52700,NA,NA
"36",36,"T0000100","flat",0.0476,38.7046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,NA,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,51700,51200,NA,NA,51700,52200,52200,NA,NA,NA
"37",37,"T0000100","flat",0.046,39.0625,49800,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,49800,NA,NA,49800,49800,49300,49300,49300,49800,NA,49300,49300,49300,49800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49300,49300,49300,49800,49800,49800,50200,49800,50200,50200,50200
"38",38,"T0000100","short",0.004,39.6031,28300,28300,28300,28300,28300,28300,28300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"T0000100","flat",0.0394,40.2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,51200,51700,NA,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"T0000100","flat",0.0215,40.6246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,50700,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51700,52200,51700,51700,51700,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"T0000100","short-ur",0.0087,41.7249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60500,60500,60500,61000,61000,61500,61500,61500,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"T0000100","flat",0.0204,43.2133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52700,NA,52200,NA,NA,NA,52700,52200,NA,NA,52200,NA,52700,NA,NA,NA,52700,52700,NA,52700,52700,52700,NA,NA,NA,NA
"43",43,"T0000100","short",0.0015,47.7342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52200
"44",44,"T0000100","flat",0.046,49.3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46800,NA,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,NA,46300,NA,NA,NA,NA,NA,NA
"45",45,"T0000100","short",0.003,50.8426,57100,57100,57100,57100,57100,57100,57100,57100,57100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,56600
"46",46,"T0000100","flat",0.0373,51.8302,NA,NA,NA,NA,NA,NA,NA,NA,52200,52700,52700,NA,NA,52700,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52200,NA,51700,52700,NA,NA,NA,51700,51700,NA
"47",47,"T0000100","flat",0.0424,52.9269,51700,51700,NA,52200,51700,52200,52200,52200,52200,52200,52200,52700,52200,52700,52200,52200,52700,52700,52700,52700,52700,52700,52700,52200,52200,52700,52200,52700,52700,52700,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52200,52200,52200,NA
"48",48,"T0000100","flat",0.0373,56.6783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,45800,46800,NA,NA,NA,NA,NA,NA,45800,45800,45400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"T0000100","short",0.0092,66.3976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"T0000100","flat",0.044,72.2703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44400,44400,NA,NA,NA,NA,NA,NA,NA,45400,45400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"T0000100","flat",0.0942,73.4622,NA,NA,NA,47800,46800,46800,NA,NA,NA,NA,NA,45400,45400,NA,44400,44400,44400,44400,43900,43900,43900,43900,43400,NA,NA,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,NA,NA,NA,NA,NA,41500,40500,40500,40500,40500,40500
"52",52,"T0000100","flat",0.0286,73.6849,NA,NA,NA,NA,NA,NA,48300,NA,NA,NA,48300,48300,48800,48300,48300,48800,48800,NA,NA,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,NA,48800,48800,48800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"T0000100","flat",0.0291,73.8534,NA,NA,NA,NA,NA,NA,NA,48300,48300,48300,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,48800,48800,48800,49300,48800,48800,48800,49300,49300,48800,48800,48800,NA
"54",54,"T0000100","flat",0.0302,75.2256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"T0000100","unclear",0.0629,79.9278,NA,68800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73700,73700,74700,NA,NA,NA,79500,79100,79100,79100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52200,52200,51700,NA,NA,NA
"56",56,"T0000100","short",0.0035,82.0162,67800,67800,67800,67800,67800,67800,67800,68800,68800,68800,68800,68800,68800,68800,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,69300,NA
"57",57,"T0000100","flat",0.0174,87.0753,NA,NA,NA,NA,NA,NA,55100,55100,55600,55600,55600,56100,NA,56100,56100,55100,55100,55100,55100,55100,55100,55100,55100,55100,54600,54600,55100,55100,NA,54600,54600,54600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"T0000100","short-ur",0.0015,93.1374,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,72700,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,72700
"59",59,"T0000100","flat",0.064,94.6426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,NA,NA,NA,NA,44900,44900,NA,NA,44400,44900,NA,44900,44400,44400,43900,44400,NA,NA,NA,43900,44900,44400,NA,NA,NA,44900,44400,NA,NA,NA,NA,NA
"60",60,"T0000100","short",0.0046,94.8316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,NA,NA,NA,NA,NA,NA
"61",61,"T0000100","flat",0.0148,95.1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,50700,51200,51200,50700,50700,50700,50700,50700,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,50700,50700,NA,NA,50700,NA
"62",62,"T0000100","short",0.0071,95.2944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50200,50200,50200,NA
"63",63,"T0000100","flat",0.0471,96.8965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45400,NA,NA,NA,NA,44400,44900,44400,NA,NA,NA,43900,43900,43900,NA,NA,NA,NA,NA,42900,43400,43400,43400,42900,42400,NA,NA,NA,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"T0000100","flat",0.0291,97.0874,NA,NA,NA,NA,NA,NA,NA,46300,46300,46300,46800,46300,46300,46300,46300,46300,46300,46300,46300,46300,NA,NA,NA,NA,NA,NA,NA,45800,46300,45800,45800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45400,45400,45400,45400,45400,45400,NA
"65",65,"T0000100","flat harmx",0.0762,97.2303,NA,NA,NA,44400,44400,44400,44400,44400,44400,NA,NA,43900,44400,44400,44400,43900,43900,NA,43400,43400,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500
"66",66,"T0000100","flat",0.0588,99.1964,NA,NA,NA,NA,45800,NA,NA,45800,NA,NA,NA,NA,NA,NA,NA,44900,NA,NA,NA,NA,NA,NA,NA,43400,43400,43400,42900,42900,42900,42900,42400,42400,41900,41900,41900,41900,41900,41900,41500,41500,41900,41500,41500,41500,41900,41900,41900,41900,41900,NA
"67",67,"T0000100","short-ur",0.0035,100.7764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70300,70300,70300,70300,70300,70300,70300,70800,70800,70800,70800,70800,70800,70800,73200,73200,73200,73200,73200,73200,73200,73700,73700,73700,73700,73700,73700,73700,74200,74200,74200,74200,74200,74200,74200,NA
"68",68,"T0000100","flat",0.0373,101.0621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44900,NA,NA,NA,NA,NA,45400,NA,NA,NA,46300,46300,46300,46300,46800,46800,46800,47300,47300,47300,47800,47800,48300,48300,48300,48800,48800,48800,NA
"69",69,"T0000100","flat",0.0419,101.2254,NA,NA,NA,NA,NA,NA,NA,46300,45400,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,46300,45800,45800,46300,45800,45800,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,NA
"70",70,"T0000100","flat",0.0926,102.1004,NA,NA,NA,44400,44400,44400,44400,44400,43900,43400,43400,42400,41900,41900,41500,41900,41900,41500,NA,NA,NA,41500,NA,NA,NA,NA,41000,41000,41000,40500,40500,NA,NA,NA,NA,NA,NA,NA,NA,19000,NA,NA,NA,NA,NA,NA,40500,NA,NA,NA
"71",71,"T0000100","flat",0.0153,102.318,NA,NA,NA,NA,NA,47800,47800,48300,48300,48300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,48800,48800,48800,48800,48800,49300,49300,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"T0000100","flat",0.0844,102.446,NA,NA,45800,45800,45800,45400,45400,45400,45400,45400,44900,44400,44400,43900,42400,42400,41900,NA,41500,41500,41000,41000,41000,NA,40500,NA,NA,NA,40500,40500,NA,NA,NA,NA,40000,40000,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"T0000100","flat harmx",0.0168,102.6539,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,49800,49800,49300,NA,NA
"74",74,"T0000100","flat",0.0353,102.8003,NA,NA,NA,NA,NA,NA,46800,46800,46800,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,48300,47800,47800,NA,47300,NA,NA,48800,48300,48300,48800,48800,48800,48300,48300,49300,NA,49300,NA,NA,49800,49800,49800,50200,50200,50200,NA,NA
"75",75,"T0000100","flat harmx",0.0814,102.9253,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,40500,40500,41000,41000,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,40500,40500,40000,40000,40000,NA,NA,NA
"76",76,"T0000100","flat  harmx",0.0235,103.1255,47800,47800,47800,47800,47800,48300,47800,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49300,49300
"77",77,"T0000100","flat-z",0.0414,103.278,44900,45400,45400,44900,44900,44900,45400,44900,44900,44900,44900,44400,NA,NA,NA,NA,NA,44400,44400,44400,NA,41900,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,NA,NA,41500,41900,41900,NA,NA,NA,NA,NA
"78",78,"T0000100","flat",0.0696,113.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
