"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"11",160,"flat",0.0209,170.5169,170.5379,-50.26,55100,55100,55100,55100,55100,NA,NA,NA,NA,NA,NA,55100,55100,55100,55100,55100,55600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54100,54100,54100,54100,54100,54100,54100,54100,53700,53700,53700,53700,"T0000058"
"12",161,"flat",0.0153,170.563,170.5784,-44.49,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50200,50200,50700,50700,50700,50700,50700,50200,50200,50200,49800,49800,49800,48300,48300,48800,47300,47300,48300,48300,47300,NA,NA,NA,NA,"T0000058"
"13",162,"short-c",0.0092,170.713,170.7223,-55.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50200,50200,51200,51200,51200,51200,51200,51200,51700,51700,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,52200,52200,52200,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,NA,"T0000058"
"14",163,"flat-z",0.0281,170.881,170.9091,-62.43,44900,44900,44900,45400,45400,45400,45400,45400,45400,45400,45400,45400,44900,44900,44400,44400,44400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42400,42400,NA,"T0000058"
"15",173,"short",0.0035,176.4971,176.5007,-76.41,NA,NA,NA,NA,NA,NA,NA,62500,62500,62500,62500,62500,62500,62500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64400,64400,64400,64400,64400,64400,64400,NA,"T0000058"
"16",176,"flat",0.0296,176.6917,176.7214,-58.99,NA,NA,NA,NA,58100,58500,58500,NA,NA,59500,NA,NA,NA,NA,61500,NA,NA,NA,61000,61500,61500,61500,61500,61500,61500,61500,61500,62000,62000,62000,62000,62000,61500,62000,62000,62000,62500,62000,62000,62000,62000,62000,62000,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"17",180,"short",0.0102,177.0106,177.0209,-61.27,NA,NA,NA,NA,NA,89300,89300,89300,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,NA,NA,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,NA,NA,88300,"T0000058"
"18",186,"short",0.0015,177.6527,177.6542,-57.6,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,"T0000058"
"19",198,"flat",0.0261,179.2291,179.2552,-83.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100,NA,NA,NA,NA,NA,NA,NA,55600,"T0000058"
"20",199,"flat",0.0343,179.4339,179.4682,-76.41,51200,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51200,51200,51200,51200,51200,51200,NA,NA,51200,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"21",200,"flat",0.0174,179.6418,179.6592,-93.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
"22",202,"short",0.0102,180.8834,180.8936,-68.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000058"
