"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"103","trill-f",0,"T0000126",259,0,"WK"
"104","inverted-U",0,"T0000126",259,0,"WK"
"105","unclear",2,"T0000126",259,0.00772200772200772,"WK"
"106","flat",4,"T0000142",7,0.571428571428571,"SD"
"107","flat-z",0,"T0000142",7,0,"SD"
"108","flat-mz",0,"T0000142",7,0,"SD"
"109","short",3,"T0000142",7,0.428571428571429,"SD"
"110","short-su",0,"T0000142",7,0,"SD"
"111","short-sd",0,"T0000142",7,0,"SD"
"112","short-ur",0,"T0000142",7,0,"SD"
"113","short-dr",0,"T0000142",7,0,"SD"
"114","short-c",0,"T0000142",7,0,"SD"
"115","complex",0,"T0000142",7,0,"SD"
"116","upward ramp",0,"T0000142",7,0,"SD"
"117","downward ramp",0,"T0000142",7,0,"SD"
"118","step up",0,"T0000142",7,0,"SD"
"119","step down",0,"T0000142",7,0,"SD"
"120","multi-step",0,"T0000142",7,0,"SD"
"121","multi-step-s",0,"T0000142",7,0,"SD"
"122","trill",0,"T0000142",7,0,"SD"
"123","trill-c",0,"T0000142",7,0,"SD"
"124","trill-f",0,"T0000142",7,0,"SD"
"125","inverted-U",0,"T0000142",7,0,"SD"
"126","unclear",0,"T0000142",7,0,"SD"
"127","flat",56,"T0000149",130,0.430769230769231,"SD"
"128","flat-z",33,"T0000149",130,0.253846153846154,"SD"
"129","flat-mz",21,"T0000149",130,0.161538461538462,"SD"
"130","short",11,"T0000149",130,0.0846153846153846,"SD"
"131","short-su",0,"T0000149",130,0,"SD"
"132","short-sd",0,"T0000149",130,0,"SD"
"133","short-ur",6,"T0000149",130,0.0461538461538462,"SD"
"134","short-dr",0,"T0000149",130,0,"SD"
"135","short-c",0,"T0000149",130,0,"SD"
"136","complex",2,"T0000149",130,0.0153846153846154,"SD"
"137","upward ramp",0,"T0000149",130,0,"SD"
"138","downward ramp",0,"T0000149",130,0,"SD"
"139","step up",0,"T0000149",130,0,"SD"
"140","step down",1,"T0000149",130,0.00769230769230769,"SD"
"141","multi-step",0,"T0000149",130,0,"SD"
"142","multi-step-s",0,"T0000149",130,0,"SD"
"143","trill",0,"T0000149",130,0,"SD"
"144","trill-c",0,"T0000149",130,0,"SD"
"145","trill-f",0,"T0000149",130,0,"SD"
"146","inverted-U",0,"T0000149",130,0,"SD"
"147","unclear",0,"T0000149",130,0,"SD"
"148","flat",14,"T0000157",33,0.424242424242424,"SD"
"149","flat-z",1,"T0000157",33,0.0303030303030303,"SD"
"150","flat-mz",2,"T0000157",33,0.0606060606060606,"SD"
"151","short",9,"T0000157",33,0.272727272727273,"SD"
"152","short-su",0,"T0000157",33,0,"SD"
"153","short-sd",0,"T0000157",33,0,"SD"
"154","short-ur",2,"T0000157",33,0.0606060606060606,"SD"
"155","short-dr",4,"T0000157",33,0.121212121212121,"SD"
"156","short-c",0,"T0000157",33,0,"SD"
"157","complex",1,"T0000157",33,0.0303030303030303,"SD"
"158","upward ramp",0,"T0000157",33,0,"SD"
"159","downward ramp",0,"T0000157",33,0,"SD"
"160","step up",0,"T0000157",33,0,"SD"
"161","step down",0,"T0000157",33,0,"SD"
"162","multi-step",0,"T0000157",33,0,"SD"
"163","multi-step-s",0,"T0000157",33,0,"SD"
"164","trill",0,"T0000157",33,0,"SD"
"165","trill-c",0,"T0000157",33,0,"SD"
"166","trill-f",0,"T0000157",33,0,"SD"
"167","inverted-U",0,"T0000157",33,0,"SD"
"168","unclear",0,"T0000157",33,0,"SD"
"169","flat",1,"T0000187",2,0.5,"WK"
"170","flat-z",0,"T0000187",2,0,"WK"
"171","flat-mz",0,"T0000187",2,0,"WK"
"172","short",0,"T0000187",2,0,"WK"
