"unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","strain"
11,"T0000085","flat",0.0696,3.3085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
12,"T0000085","flat",0.1049,3.9183,58500,58100,58100,57600,57600,57100,56600,56100,55600,55600,55100,NA,NA,54600,NA,54600,54600,54600,54100,54100,54100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53700,54100,54100,NA,NA,NA,NA,NA,NA,"SD"
13,"T0000085","flat",0.0732,4.1779,46300,46300,46300,46300,46300,46300,45800,46300,NA,NA,NA,NA,NA,NA,44900,44900,NA,NA,NA,NA,43900,43400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,NA,NA,41900,NA,NA,"SD"
14,"T0000085","flat under flat",0.1208,4.3607,NA,41900,41900,NA,NA,41500,41500,NA,NA,NA,NA,41500,NA,NA,NA,NA,NA,NA,41000,41000,41000,41000,41000,NA,41000,41000,41000,41000,NA,41000,41000,NA,41000,41000,41000,41000,41000,41000,41000,41000,41000,NA,52700,53200,53200,53200,53200,53200,53200,52700,"SD"
15,"T0000085","flat",0.0957,4.5742,NA,NA,NA,NA,NA,NA,NA,NA,39500,39500,40000,40000,40000,40000,40500,40500,40500,40500,41000,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,40500,40500,40000,40000,39500,NA,"SD"
16,"T0000085","flat under short",0.0972,4.7738,NA,NA,NA,NA,39500,40000,40000,40000,NA,40000,40000,50200,50200,50700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
17,"T0000085","flat-z over flat",0.1146,4.9402,NA,NA,NA,NA,NA,NA,47300,47300,47300,46800,46800,NA,NA,43400,43900,43400,43900,43400,43900,43900,43900,43400,NA,NA,NA,NA,NA,NA,NA,NA,NA,79500,NA,79100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
18,"T0000085","flat-z",0.0496,5.1092,NA,NA,NA,NA,NA,NA,47800,47300,47800,47300,47300,47300,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42900,43400,43400,42900,42900,42900,NA,42900,42400,42400,42900,42400,42400,42400,42900,42400,42400,42400,42400,42400,42400,42900,42400,42400,42400,42400,42400,"SD"
19,"T0000085","flat",0.064,5.2858,43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,NA,41900,41900,42400,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,NA,41000,NA,NA,NA,NA,NA,81500,81500,81500,81500,81500,81000,41500,81000,41500,41500,80500,80500,40500,40500,NA,NA,NA,"SD"
20,"T0000085","flat-mz",0.0399,5.4727,44400,44400,44900,44400,45400,NA,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,44900,44400,43900,43900,44400,44400,43900,NA,"SD"
21,"T0000085","flat-z",0.0614,5.6299,47800,47800,47800,47800,47800,47800,47800,47300,47800,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46300,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41000,NA,NA,41000,NA,"SD"
22,"T0000085","flat",0.0834,5.8127,NA,44400,44900,45800,46300,46300,45800,NA,43900,43900,43400,NA,NA,NA,42400,42400,42400,42400,42400,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,NA,41500,NA,NA,NA,NA,NA,NA,NA,41500,41000,41000,NA,NA,NA,NA,NA,NA,NA,"SD"
23,"T0000085","flat",0.0537,6.0195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42400,NA,NA,NA,NA,NA,NA,NA,41900,41900,NA,NA,NA,NA,NA,NA,NA,41500,NA,41500,41500,41500,41500,41500,41500,41500,41500,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
24,"T0000085","flat",0.0834,6.2069,NA,NA,NA,NA,NA,NA,NA,41500,41500,41500,41500,41500,41500,41000,NA,41000,NA,NA,41000,NA,NA,NA,NA,NA,41000,NA,41500,41500,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,40500,40500,40500,40000,NA,"SD"
25,"T0000085","flat under flat",0.0721,6.3933,41500,41500,41900,NA,41500,41900,41500,41900,41900,41500,54600,53700,53700,53200,52700,52700,52200,51700,51700,51200,51200,51200,50700,50700,41000,50200,50200,49800,NA,NA,41000,41000,41000,41000,41000,41500,41000,41000,41000,41000,41000,41000,41000,41500,41000,41000,41500,41000,40500,40500,"SD"
26,"T0000085","flat",0.0819,6.5827,NA,NA,NA,NA,NA,NA,NA,NA,41900,41900,NA,41900,41900,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,NA,NA,41500,NA,41500,NA,NA,"SD"
28,"T0000085","flat",0.0757,6.9693,NA,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,41000,NA,NA,NA,41000,41000,41000,41500,NA,NA,41000,41000,NA,NA,41500,41500,41500,41500,41500,41500,41900,41000,NA,NA,"SD"
29,"T0000085","flat",0.0834,7.1669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,41500,41000,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
30,"T0000085","flat",0.067,7.3625,NA,NA,NA,NA,NA,NA,NA,NA,41500,NA,NA,NA,41500,41500,41500,41500,41500,41500,41000,41500,41500,41000,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,NA,41000,NA,41000,41000,41000,41000,41000,41500,41000,41500,41500,NA,42400,42400,42400,"SD"
31,"T0000085","short",0.0076,7.5545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,49300,49300,NA,NA,NA,NA,NA,NA,NA,49300,49300,49300,NA,NA,NA,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,49300,49300,49300,NA,NA,NA,NA,"SD"
32,"T0000085","short",0.0056,7.5934,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
33,"T0000085","flat-z",0.0517,7.723,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,49800,50200,50200,50200,50200,50200,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,42400,42400,42400,41900,"SD"
34,"T0000085","flat",0.0122,7.9052,NA,NA,NA,50200,50200,49300,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,NA,NA,49300,49300,NA,NA,NA,NA,NA,NA,NA,"SD"
35,"T0000085","flat",0.0199,7.9513,NA,NA,NA,NA,NA,NA,NA,41900,41900,41900,41900,41900,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
36,"T0000085","flat",0.0542,8.0788,NA,NA,NA,52200,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50700,50700,50700,50700,50700,50700,50200,50700,50700,50700,NA,NA,NA,NA,50200,50200,50200,50700,50700,50700,50200,"SD"
37,"T0000085","flat",0.0839,8.2554,NA,42900,42400,42900,42400,42900,NA,41900,41900,NA,NA,41500,41900,41900,41500,41500,41000,NA,NA,NA,NA,NA,NA,41000,40500,41000,41000,41000,41000,41500,41000,41000,NA,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,40500,41000,NA,40000,NA,"SD"
38,"T0000085","flat",0.1157,8.4587,NA,NA,42400,NA,NA,NA,42400,42400,42400,41900,41900,41900,41900,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,NA,41000,41500,41500,41500,41500,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,41500,40500,40500,"SD"
39,"T0000085","flat",0.0604,8.6917,NA,40500,40500,41000,41000,41000,41000,41000,NA,NA,41000,41000,41000,41500,41500,41500,41500,NA,NA,41000,41500,41500,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,41500,41500,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,41000,41000,NA,"SD"
40,"T0000085","flat-z",0.0491,8.8796,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,41900,41900,41900,41900,NA,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,48300,48300,48300,48300,48300,48800,48300,48300,48300,48300,48300,48800,48800,48300,48300,48300,48300,48300,48800,NA,NA,48300,NA,"SD"
41,"T0000085","flat",0.0481,9.0649,NA,NA,41500,41900,41900,41900,41500,41900,41500,41500,41900,41500,41500,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,NA,"SD"
42,"T0000085","flat",0.0486,9.24,NA,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42900,42900,42400,42900,NA,NA,NA,NA,NA,NA,NA,41900,NA,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,42400,42400,42400,42900,42900,43400,43900,43900,NA,"SD"
43,"T0000085","flat",0.0286,9.4346,47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,"SD"
44,"T0000085","flat",0.0327,9.604,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49300,49800,49300,49300,NA,"SD"
45,"T0000085","flat",0.0281,9.7766,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,44400,44400,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,NA,44900,44900,44900,45400,44900,NA,44900,NA,"SD"
46,"T0000085","short",0.0056,9.9517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
47,"T0000085","flat",0.089,10.5569,NA,43400,43400,42900,42400,42400,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,"SD"
48,"T0000085","flat",0.0604,10.7811,44900,44900,44400,44400,44400,43900,43900,NA,NA,43400,42900,42900,42900,42400,42400,NA,NA,NA,NA,NA,NA,NA,NA,41000,41000,41000,41000,41500,41000,41000,41000,41500,41000,41000,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
49,"T0000085","flat over flat",0.1024,10.9639,NA,43400,43400,42900,42900,42400,42400,42400,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
50,"T0000085","flat",0.0911,11.4734,42400,42900,42400,42900,42900,42900,42900,42900,42400,42400,42400,42400,41900,41900,NA,NA,NA,NA,NA,NA,NA,41000,41000,NA,40500,41000,41000,41000,41000,40500,40500,40500,40500,41000,41000,41000,41000,41000,40500,40500,40500,40500,41000,41000,41000,41000,40500,40500,40500,40500,"SD"
51,"T0000085","flat",0.0517,11.7063,42900,NA,NA,NA,NA,42400,42400,NA,41900,41900,41900,41900,NA,NA,NA,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41500,41900,41900,41500,41900,41900,41900,41900,41900,41900,41500,41500,41900,41900,NA,NA,NA,41900,NA,NA,NA,"SD"
52,"T0000085","flat und flat-z",0.1003,11.8446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47300,NA,NA,NA,42900,42900,42900,42400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,NA,NA,NA,41900,41500,41500,NA,"SD"
53,"T0000085","flat",0.0563,12.0826,NA,NA,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,NA,NA,NA,NA,46800,47300,46800,47300,47300,47300,47300,47300,47800,47800,47800,NA,NA,47800,NA,NA,NA,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,NA,NA,"SD"
54,"T0000085","flat-z",0.0496,12.2716,NA,49300,49300,48800,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,48800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48300,48300,48300,48300,48300,48300,48800,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,"SD"
55,"T0000085","flat und flat-z",0.0896,12.3996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48800,48800,48800,48800,48300,NA,43900,43400,43400,NA,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,"SD"
56,"T0000085","flat",0.0404,12.6254,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,NA,NA,NA,NA,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,NA,"SD"
57,"T0000085","flat",0.0327,13.4164,NA,NA,NA,NA,NA,49800,50700,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51700,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,"SD"
58,"T0000085","flat-z",0.0691,13.5756,49300,49800,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,49300,48800,48800,48800,48300,48800,48800,48300,NA,NA,NA,NA,NA,NA,NA,NA,48300,48300,48800,48800,48800,48300,48300,48300,48300,48300,48300,48300,47800,47800,41900,41900,NA,41900,41900,41900,41900,NA,"SD"
59,"T0000085","flat und flat-z",0.0988,13.7441,41900,41900,41900,41900,41500,41500,82500,82500,82500,NA,NA,NA,NA,NA,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,48800,48300,48800,NA,48300,48300,NA,NA,NA,NA,NA,47300,47300,47300,47300,47300,47800,47800,47800,47800,47300,47300,47300,42400,NA,"SD"
60,"T0000085","flat",0.065,13.9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
61,"T0000085","flat over flat",0.0972,14.1486,NA,NA,49800,NA,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000,NA,75600,75600,75600,75600,NA,37500,37500,NA,75600,43400,43400,43400,42900,42400,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
62,"T0000085","flat",0.0343,14.3508,NA,NA,NA,NA,NA,NA,45800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48800,NA,48800,48800,NA,NA,NA,NA,NA,NA,NA,NA,48800,48800,48800,49300,48800,49300,49300,49300,49300,NA,NA,NA,"SD"
63,"T0000085","flat",0.0604,14.7148,43900,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,NA,NA,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42900,42400,42400,NA,"SD"
64,"T0000085","flat",0.0885,15.3559,NA,NA,NA,NA,NA,NA,42400,NA,NA,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
65,"T0000085","flat",0.0993,15.5719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
66,"T0000085","flat",0.087,15.7383,NA,43400,43400,42900,42400,42400,41900,NA,41500,NA,NA,NA,NA,40500,40500,NA,40000,39500,NA,NA,NA,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38500,39000,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
67,"T0000085","flat",0.0926,15.9257,NA,43400,43400,42900,42900,42400,42400,NA,41900,NA,NA,NA,NA,41000,41000,40500,40500,40500,40000,40500,40000,40000,39500,NA,NA,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,39500,39500,39500,39500,40000,39500,39500,NA,NA,39500,39500,NA,NA,NA,NA,"SD"
68,"T0000085","flat",0.0302,16.1361,NA,NA,NA,NA,42400,42400,42400,42400,42400,42400,41900,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,41900,41900,42400,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,NA,NA,NA,NA,NA,"SD"
69,"T0000085","flat",0.0332,16.9287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
70,"T0000085","flat",0.0368,17.1269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
71,"T0000085","flat",0.0742,17.3281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
72,"T0000085","flat-z",0.0419,18.4371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45400,NA,NA,NA,45400,45400,45400,45400,45400,45400,45400,45400,44900,45400,NA,44900,NA,45400,NA,44400,44400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
73,"T0000085","flat",0.1489,18.882,NA,NA,45800,43400,42900,42400,41900,41500,41500,41000,40500,40000,40000,NA,NA,39500,39500,40000,39500,39500,39500,NA,39500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43400,42900,42400,41900,41500,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
74,"T0000085","flat",0.043,19.1047,NA,NA,42400,NA,42400,41900,41900,41900,41900,41900,41900,41500,41500,41000,41500,41000,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,41000,40500,40500,41000,NA,40500,40500,41000,40500,40500,40500,40500,40500,40000,40000,40000,40000,NA,"SD"
75,"T0000085","flat",0.0542,19.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
76,"T0000085","flat",0.0568,19.3377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
77,"T0000085","flat",0.0721,19.4723,45800,45800,45800,NA,45400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD"
78,"T0000085","flat",0.1505,20.907,55600,55600,55100,54600,54100,53700,52700,51700,51700,51200,NA,NA,NA,49800,49800,49300,49300,48800,48800,48800,48800,48300,48300,48300,48300,48800,48800,48800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52700,52200,52200,NA,"SD"
