"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"111","short-sd",0,"T0000240",4,0,"SD"
"112","short-ur",0,"T0000240",4,0,"SD"
"113","short-dr",0,"T0000240",4,0,"SD"
"114","short-c",0,"T0000240",4,0,"SD"
"115","complex",0,"T0000240",4,0,"SD"
"116","upward ramp",0,"T0000240",4,0,"SD"
"117","downward ramp",0,"T0000240",4,0,"SD"
"118","step up",0,"T0000240",4,0,"SD"
"119","step down",1,"T0000240",4,0.25,"SD"
"120","multi-step",0,"T0000240",4,0,"SD"
"121","multi-step-s",0,"T0000240",4,0,"SD"
"122","trill",0,"T0000240",4,0,"SD"
"123","trill-c",0,"T0000240",4,0,"SD"
"124","trill-f",0,"T0000240",4,0,"SD"
"125","inverted-U",0,"T0000240",4,0,"SD"
"126","unclear",0,"T0000240",4,0,"SD"
"127","flat",21,"T0000252",36,0.583333333333333,"SD"
"128","flat-z",1,"T0000252",36,0.0277777777777778,"SD"
"129","flat-mz",1,"T0000252",36,0.0277777777777778,"SD"
"130","short",10,"T0000252",36,0.277777777777778,"SD"
"131","short-su",0,"T0000252",36,0,"SD"
"132","short-sd",0,"T0000252",36,0,"SD"
"133","short-ur",0,"T0000252",36,0,"SD"
"134","short-dr",1,"T0000252",36,0.0277777777777778,"SD"
"135","short-c",0,"T0000252",36,0,"SD"
"136","complex",2,"T0000252",36,0.0555555555555556,"SD"
"137","upward ramp",0,"T0000252",36,0,"SD"
"138","downward ramp",0,"T0000252",36,0,"SD"
"139","step up",0,"T0000252",36,0,"SD"
"140","step down",0,"T0000252",36,0,"SD"
"141","multi-step",0,"T0000252",36,0,"SD"
"142","multi-step-s",0,"T0000252",36,0,"SD"
"143","trill",0,"T0000252",36,0,"SD"
"144","trill-c",0,"T0000252",36,0,"SD"
"145","trill-f",0,"T0000252",36,0,"SD"
"146","inverted-U",0,"T0000252",36,0,"SD"
"147","unclear",0,"T0000252",36,0,"SD"
