"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"105","unclear",0,"T0000125",139,0,"WK"
"106","flat",2,"T0000143",3,0.666666666666667,"SD"
"107","flat-z",0,"T0000143",3,0,"SD"
"108","flat-mz",0,"T0000143",3,0,"SD"
"109","short",1,"T0000143",3,0.333333333333333,"SD"
"110","short-su",0,"T0000143",3,0,"SD"
"111","short-sd",0,"T0000143",3,0,"SD"
"112","short-ur",0,"T0000143",3,0,"SD"
"113","short-dr",0,"T0000143",3,0,"SD"
"114","short-c",0,"T0000143",3,0,"SD"
"115","complex",0,"T0000143",3,0,"SD"
"116","upward ramp",0,"T0000143",3,0,"SD"
"117","downward ramp",0,"T0000143",3,0,"SD"
"118","step up",0,"T0000143",3,0,"SD"
"119","step down",0,"T0000143",3,0,"SD"
"120","multi-step",0,"T0000143",3,0,"SD"
"121","multi-step-s",0,"T0000143",3,0,"SD"
"122","trill",0,"T0000143",3,0,"SD"
"123","trill-c",0,"T0000143",3,0,"SD"
"124","trill-f",0,"T0000143",3,0,"SD"
"125","inverted-U",0,"T0000143",3,0,"SD"
"126","unclear",0,"T0000143",3,0,"SD"
"127","flat",20,"T0000151",58,0.344827586206897,"SD"
"128","flat-z",9,"T0000151",58,0.155172413793103,"SD"
"129","flat-mz",3,"T0000151",58,0.0517241379310345,"SD"
"130","short",21,"T0000151",58,0.362068965517241,"SD"
"131","short-su",0,"T0000151",58,0,"SD"
"132","short-sd",0,"T0000151",58,0,"SD"
"133","short-ur",2,"T0000151",58,0.0344827586206897,"SD"
"134","short-dr",0,"T0000151",58,0,"SD"
"135","short-c",1,"T0000151",58,0.0172413793103448,"SD"
"136","complex",1,"T0000151",58,0.0172413793103448,"SD"
"137","upward ramp",1,"T0000151",58,0.0172413793103448,"SD"
"138","downward ramp",0,"T0000151",58,0,"SD"
"139","step up",0,"T0000151",58,0,"SD"
"140","step down",0,"T0000151",58,0,"SD"
"141","multi-step",0,"T0000151",58,0,"SD"
"142","multi-step-s",0,"T0000151",58,0,"SD"
"143","trill",0,"T0000151",58,0,"SD"
"144","trill-c",0,"T0000151",58,0,"SD"
"145","trill-f",0,"T0000151",58,0,"SD"
"146","inverted-U",0,"T0000151",58,0,"SD"
"147","unclear",0,"T0000151",58,0,"SD"
"148","flat",97,"T0000156",161,0.602484472049689,"SD"
"149","flat-z",36,"T0000156",161,0.22360248447205,"SD"
"150","flat-mz",22,"T0000156",161,0.136645962732919,"SD"
"151","short",3,"T0000156",161,0.0186335403726708,"SD"
"152","short-su",0,"T0000156",161,0,"SD"
"153","short-sd",0,"T0000156",161,0,"SD"
"154","short-ur",0,"T0000156",161,0,"SD"
