file.name,label,start.time
T0000100,flat-z harmx,383.9882
T0000100,flat harmx,384.1684
T0000100,flat harmx,384.3568
T0000100,flat harmx,384.5375
T0000100,short-ur,384.7623
T0000100,short-c,385.0035
T0000100,short-ur,385.2482
T0000100,flat,386.1657
T0000100,flat,388.7795
T0000100,flat-z harmx,388.9674
T0000100,flat harmx,389.2136
T0000100,flat,389.4364
T0000100,flat,389.6361
T0000100,flat,389.8245
T0000100,flat,389.997
T0000100,flat-z harmx,390.3262
T0000100,flat,390.5899
T0000100,short,393.9507
T0000100,flat,395.2507
T0000100,flat harmx,396.7083
T0000100,flat-mz harmx,396.9454
T0000100,flat,397.1676
T0000100,flat,397.4092
T0000100,flat,397.6258
T0000100,flat,397.8199
T0000100,flat-z harmx,398.0006
T0000100,flat,398.2294
T0000100,flat,398.425
T0000100,flat harmx,398.6908
T0000100,flat harmx,398.9104
T0000100,flat harmx,399.1623
T0000100,flat harmx,399.3932
T0000100,flat harmx,399.6277
T0000100,flat harmx,399.8423
T0000100,flat harmx,400.0665
T0000100,flat,400.2928
T0000100,flat,400.534
T0000100,flat,403.7524
T0000100,flat,403.9367
T0000100,flat,404.1134
T0000100,flat,404.3115
T0000100,flat,404.4958
T0000100,flat,404.6704
T0000100,short,404.8583
T0000100,upward ramp,405.0124
T0000100,flat,405.2003
T0000100,short,405.3775
T0000100,flat,406.4322
T0000100,flat harmx,406.5878
T0000100,flat harmx,406.8003
T0000100,flat,406.9908
T0000100,flat-mz,407.2104
T0000100,flat,407.4414
T0000100,flat harmx,408.3148
T0000100,flat,408.516
T0000100,flat-z,408.6789
T0000100,flat-mz,408.8744
T0000100,flat,409.0854
T0000100,flat,409.2784
T0000100,flat,409.4602
T0000100,short,409.6619
T0000100,flat,409.9957
T0000100,flat,410.1662
T0000100,flat,410.3659
T0000100,flat,410.5676
T0000100,flat-z harmx,410.7253
T0000100,flat-z harmx,410.9301
T0000100,flat-z harmx,411.1318
T0000100,flat-z harmx,411.3269
T0000100,flat-mx harmx,411.5036
T0000100,flat-mz,411.714
T0000100,flat-z,411.908
T0000100,flat-mz  harm,412.1144
T0000100,flat-z,412.3402
T0000100,flat harmx,412.5895
T0000100,flat,412.7912
T0000100,flat,412.9986
T0000100,flat,413.1906
T0000100,flat,413.4236
T0000100,flat harmx,414.6155
T0000100,flat-z,414.8638
T0000100,flat,415.4414
T0000100,flat-z harmx,415.6113
T0000100,flat-mz harmx,415.8438
T0000100,flat harmx,416.0906
T0000100,flat harmx,416.3292
T0000100,flat-mz harmx,416.5447
T0000100,flat,416.7408
T0000100,flat,418.8482
T0000100,flat harmx,419.0085
T0000100,flat-z harmx,419.2419
T0000100,flat,419.4565
T0000100,flat,419.9695
T0000100,flat,420.1364
T0000100,flat,420.3033
T0000100,flat,422.7962
T0000100,flat,423.0635
T0000100,flat,423.3103
T0000100,flat,423.5433
T0000100,flat,423.7972
T0000100,flat,424.025
T0000100,flat,424.2713
T0000100,flat,424.5176
T0000100,flat,424.7398
T0000100,flat,424.9605
T0000100,flat,425.1929
T0000100,flat,425.4172
T0000100,flat,425.6773
T0000100,flat,425.8739
T0000100,flat,426.0986
T0000100,flat,427.2076
T0000100,flat-z,427.3756
T0000100,flat-z,427.6003
T0000100,flat-z harmx,427.8251
T0000100,flat harmx,428.0765
T0000100,flat harmx,428.3463
T0000100,flat-mz harmx,428.5844
T0000100,flat harmx,428.8353
T0000100,flat harmx,429.0636
T0000100,flat,429.3155
T0000100,flat,429.5336
T0000100,flat,485.7139
T0000100,short-ur,489.2615
T0000100,short-ur,505.3225
T0000100,flat,592.4541
T0000100,flat,593.0188
T0000100,flat,593.1115
T0000100,flat,593.9246
T0000100,flat,594.0899
T0000100,flat,597.953
T0000100,flat,598.7015
T0000100,flat,602.754
T0000100,flat,602.945
T0000100,flat,603.1882
T0000100,flat,603.3909
T0000100,flat,603.5496
T0000100,flat,603.7314
