"unique.id","file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","strain"
17,"T0000058","short",0.0102,177.0106,NA,NA,NA,NA,NA,89300,89300,89300,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,88800,NA,NA,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,NA,NA,88300,"WK"
18,"T0000058","short",0.0015,177.6527,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,89300,"WK"
19,"T0000058","flat",0.0261,179.2291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100,NA,NA,NA,NA,NA,NA,NA,55600,"WK"
20,"T0000058","flat",0.0343,179.4339,51200,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51200,51200,51200,51200,51200,51200,NA,NA,51200,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
21,"T0000058","flat",0.0174,179.6418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
22,"T0000058","short",0.0102,180.8834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
23,"T0000058","short-c",0.0061,200.8504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61000,61000,61000,61000,61500,61500,61500,61500,61000,61000,61000,61000,60500,60500,60500,60500,NA,NA,NA,NA,60000,60000,60000,60000,NA,NA,NA,NA,NA,"WK"
24,"T0000058","short",0.0056,203.3126,NA,NA,NA,NA,NA,NA,NA,NA,NA,83900,83900,83900,83900,83900,NA,NA,NA,NA,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,NA,NA,NA,NA,83000,83000,83000,83000,83000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
25,"T0000058","short",0.0092,203.6602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86900,86900,86900,86900,86900,86900,86400,86400,86900,86900,86900,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,85900,85900,85900,"WK"
26,"T0000058","flat",0.0481,203.7263,54600,55100,55100,55100,55100,55100,55100,55100,54600,54600,NA,54100,54100,NA,NA,54100,54100,54100,54100,54100,54100,53700,NA,NA,53700,53700,54100,53700,53700,53700,53200,53700,53200,53200,53200,52700,52700,52700,NA,52200,52200,NA,NA,NA,NA,51200,51200,51200,51200,NA,"WK"
27,"T0000058","flat",0.0732,204.1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48800,49300,49300,NA,NA,NA,NA,NA,NA,NA,"WK"
28,"T0000058","short",0.0076,209.3649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
29,"T0000058","short",0.0051,213.6202,62000,62000,62000,62000,62000,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62900,62900,62900,62900,62900,62500,62500,62500,62500,62500,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,61500,61500,61500,61500,61500,62000,62000,62000,62000,NA,"WK"
30,"T0000058","short",0.0081,214.488,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,87800,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,88300,87800,87800,87800,87800,87800,87800,87800,87800,87800,87400,87400,87400,NA,NA,NA,NA,"WK"
31,"T0000058","trill",0.046,216.004,44900,44900,44900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,NA,62900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48300,48300,NA,"WK"
32,"T0000058","flat-mz",0.0204,217.4008,43400,43400,43400,43400,43400,43900,43900,43900,43900,43900,44400,44400,43900,44400,NA,46300,46800,46800,46800,46800,47300,47300,47300,47300,47300,46800,47300,46800,46800,46800,46800,46800,46300,46300,NA,46300,NA,43900,43900,43900,43900,43400,43400,42900,42900,42900,42900,42400,NA,NA,"WK"
33,"T0000058","short",0.0035,218.2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
34,"T0000058","complex",0.0527,218.3664,NA,NA,NA,NA,57600,58100,58500,59000,59000,59000,59000,58500,58500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,57600,57600,58500,58500,59000,59500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,59500,59500,59500,59000,58500,58100,58100,NA,"WK"
35,"T0000058","flat",0.0302,218.7105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,57100,57600,57600,57600,57600,57600,57600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,57600,58100,58100,58100,58100,57600,57600,57600,NA,NA,58100,57100,57600,57600,57600,57100,57600,57100,NA,"WK"
36,"T0000058","short",0.0092,218.8871,NA,NA,NA,62000,62000,62000,62500,62500,62500,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,62900,63400,63400,63400,63400,63400,63400,63400,63400,62900,62900,62900,62900,62900,63400,63400,63400,62900,62900,62900,62900,62900,62900,"WK"
37,"T0000058","short-c",0.0117,219.8543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
38,"T0000058","short",0.0066,226.2067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
39,"T0000058","upward ramp",0.0133,228.7733,80000,80000,80000,80000,NA,NA,NA,NA,81000,81000,81500,81500,NA,NA,NA,NA,83400,NA,NA,NA,NA,84900,84900,85400,85400,85400,85400,NA,NA,86900,86900,86900,86900,86900,86900,86900,NA,NA,87400,87400,87400,87400,87400,87400,NA,NA,NA,NA,NA,NA,"WK"
40,"T0000058","short-ur",0.0066,229.1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86900,86900,86900,86900,87800,87800,87800,87800,87400,87400,87400,87400,NA,NA,NA,NA,"WK"
41,"T0000058","complex over short-ur",0.0727,236.7953,54100,54600,55100,55600,NA,NA,58100,60000,60500,62000,62500,62900,NA,63400,62000,62000,61500,61000,61000,60500,61000,61500,62000,61500,61000,60000,59500,59500,65400,60500,61000,62000,62500,62900,63400,63400,63400,63400,62900,62900,62900,62900,62900,62500,62000,62500,62500,62000,61500,61500,"WK"
42,"T0000058","flat",0.045,237.164,59500,NA,60000,60500,60500,60500,61000,60500,61000,60500,60500,60000,59500,59500,59000,59000,58500,58500,58500,58100,58100,NA,NA,NA,NA,NA,NA,59000,58500,59000,59000,59000,59000,59500,59500,NA,59500,59500,59500,60000,60000,NA,NA,NA,60500,61000,61000,61500,61500,61500,"WK"
43,"T0000058","flat",0.0133,239.5427,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61500,61500,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,60500,60500,60500,60500,60500,61000,61000,60000,60000,NA,NA,NA,NA,NA,NA,60000,60000,60000,60000,NA,NA,"WK"
44,"T0000058","short",0.0092,257.753,NA,NA,NA,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57600,57600,57600,57100,57100,57100,NA,NA,NA,NA,NA,NA,NA,NA,57600,57600,57600,57600,57600,57600,57600,57600,57100,57100,57100,57100,57100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
45,"T0000058","short-c",0.0076,257.7879,NA,NA,NA,NA,57600,57600,57600,NA,NA,NA,58100,58100,58100,58100,58100,58100,58100,58500,58500,58500,58500,58500,58500,59000,59000,59000,59000,58500,58500,58500,57600,57600,57600,NA,NA,NA,57600,57600,57600,57600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
46,"T0000058","complex",0.0568,257.9834,49800,49300,49300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,52200,52700,53200,53200,54100,54100,54100,54100,53700,53700,53200,53200,51700,51200,50200,49800,49300,49300,48800,48800,NA,NA,NA,NA,NA,NA,49800,50200,50200,50700,NA,NA,NA,NA,NA,"WK"
47,"T0000058","flat",0.0768,258.1729,49800,50200,51200,51700,51700,51700,51700,52200,51700,52200,51700,52200,52200,52200,52700,52700,52700,53200,53200,53700,53700,54100,54600,54600,54600,54600,55100,54600,55100,54600,54600,54100,54100,53700,53700,53700,53200,53200,52700,52700,52700,52200,52200,51700,51700,51200,50700,50700,50200,NA,"WK"
48,"T0000058","flat",0.0645,258.3828,49300,49800,50200,50200,50700,50700,51200,51200,51200,51700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,51200,51200,50700,NA,50700,50700,50700,50700,50700,50700,50200,50200,49800,49300,48800,NA,NA,NA,NA,NA,48800,48800,49300,49300,49300,49300,49300,48800,NA,"WK"
49,"T0000058","unclear",0.0153,258.6368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73200,73200,73200,73200,73700,73700,73700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
50,"T0000058","inverted-u",0.0168,258.8031,45800,45800,45800,NA,NA,45800,NA,NA,NA,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,48800,49300,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,46800,46800,46800,45800,46300,46300,45800,45800,45800,45800,NA,NA,NA,44900,NA,"WK"
51,"T0000058","flat",0.1049,258.9813,49300,NA,50200,50200,50200,NA,50200,50700,50700,50700,50700,50700,50200,50200,50200,49800,49800,49800,49300,49300,49300,49300,48800,48800,48800,48300,48800,48300,48300,NA,NA,NA,NA,48300,47800,47800,NA,46800,NA,44400,NA,NA,NA,NA,NA,NA,NA,47800,48300,47800,"WK"
52,"T0000058","flat",0.0655,259.2153,47800,47800,NA,48300,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49300,49300,49300,49300,49300,49800,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,48300,48300,47800,47800,46800,NA,NA,NA,42900,"WK"
53,"T0000058","flat",0.0235,259.4257,49300,49300,49300,49300,49800,49800,49800,49800,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,51200,50700,50700,51200,51200,50700,51200,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50700,50700,50200,50200,49800,49800,NA,NA,"WK"
54,"T0000058","short",0.0087,259.6582,NA,NA,NA,NA,NA,NA,NA,NA,NA,80500,80500,80500,81000,81000,81000,81000,81000,81000,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81500,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,80500,80500,80500,NA,NA,NA,NA,NA,NA,"WK"
55,"T0000058","short",0.004,260.4216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58100,58100,58100,58100,58100,58100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
56,"T0000058","step down",0.0307,266.8016,72700,72700,72700,72200,72200,NA,NA,NA,NA,NA,NA,NA,46300,46800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57600,NA,NA,"WK"
57,"T0000058","short",0.004,282.3603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81500,81500,81500,81500,81500,81500,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
58,"T0000058","inverted-u",0.0174,330.8108,NA,NA,NA,NA,NA,NA,65900,65900,NA,65900,65900,66400,66800,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,67300,66800,66800,66800,66800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
59,"T0000058","flat",0.0174,363.3914,NA,NA,NA,NA,NA,NA,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48800,48800,48800,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
60,"T0000058","short",0.0056,365.807,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79500,79100,79100,79100,79100,79100,79100,79100,79100,79100,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,NA,"WK"
61,"T0000058","flat",0.0261,373.6796,51200,51200,51200,51700,NA,NA,NA,52200,52200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52200,NA,NA,NA,NA,NA,51700,52200,51700,52200,51700,NA,NA,NA,NA,NA,NA,NA,NA,NA,51700,52700,51700,51700,52200,51700,51700,NA,"WK"
62,"T0000058","flat",0.0168,374.0538,49800,49800,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,NA,"WK"
63,"T0000058","flat",0.0163,374.2438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100,NA,NA,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54600,54100,NA,"WK"
64,"T0000058","flat",0.0363,374.6114,54600,54600,54600,55100,55100,55100,55100,55600,55100,NA,NA,55100,55100,55600,55600,55600,55100,55100,55100,54600,55100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54100,54100,54100,54100,54100,54100,54100,53700,53700,53700,53700,53700,53200,53200,52700,52200,51700,51700,NA,"WK"
65,"T0000058","flat",0.0353,377.0603,48800,48800,49300,49300,49800,49800,49800,49800,50200,50200,50200,50200,50700,50700,50700,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,49800,49800,49800,49800,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48300,48300,"WK"
66,"T0000058","flat",0.0199,378.475,41000,41000,40500,40500,40500,40500,40500,40000,40000,NA,NA,NA,80500,79500,NA,NA,NA,NA,NA,40000,40000,39500,39500,39000,39000,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WK"
67,"T0000058","flat",0.0947,378.6618,47300,47800,48300,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48800,48800,49300,49300,49300,49300,49300,48300,"WK"
68,"T0000058","complex",0.1223,378.8897,47300,48800,49800,50700,51700,52200,52200,52200,51700,50700,49800,49800,50200,52200,52200,52700,52700,52700,52200,49800,48300,47300,47300,47300,47800,48800,51700,52700,53700,53700,52200,49300,46800,45800,45400,45800,47800,49800,52700,53700,54100,53700,53700,53200,53200,52700,52700,49800,49800,48800,"WK"
69,"T0000058","flat",0.1203,379.1902,52200,53200,54100,54100,53700,52700,52700,NA,NA,NA,NA,NA,NA,NA,48800,48300,48300,48800,49300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48800,49300,49300,49800,49300,49300,49300,49300,48800,48800,49300,49300,49300,49300,48800,48800,48800,48300,48300,48300,NA,"WK"
70,"T0000058","inverted-u",0.0348,379.4457,49300,49300,49300,49800,49800,50200,50700,51200,51200,51200,51700,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,51700,51700,51700,51700,51200,50700,50200,50200,49800,49800,49300,49800,49300,49300,49300,48800,48800,48800,48300,47800,47300,47300,46300,45800,46300,45800,45800,45800,45800,"WK"
71,"T0000058","flat",0.043,383.9436,53200,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,NA,NA,NA,NA,53200,53700,53700,53700,53700,53700,53700,53700,53200,53700,53200,53200,53200,53200,53200,52700,52700,52700,52200,52200,NA,NA,NA,NA,51700,51200,51200,NA,NA,NA,NA,NA,NA,NA,"WK"
72,"T0000058","step up",0.0819,384.193,53200,53700,54100,54100,54100,53700,53200,53200,53200,53200,53200,53700,54100,54600,54600,55100,55100,55100,55100,54600,54600,54100,53700,53200,52700,52200,52200,51700,51700,51700,52200,52200,52700,52700,53200,53200,53700,53200,53200,52700,52200,52200,51200,51200,50200,NA,NA,NA,76100,76100,"WK"
73,"T0000058","flat",0.1361,384.4136,49800,50700,51200,51200,51700,51700,51700,51700,51700,51700,51700,51700,51700,52200,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,52700,52200,52200,52200,51700,51700,51700,51700,51700,52200,52200,51700,51700,51200,51200,50700,51200,51200,51700,51200,NA,"WK"
74,"T0000058","flat",0.1315,384.6778,NA,53200,54100,54100,54100,54100,54100,54100,54100,53700,53700,53700,53200,53200,53200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53700,53700,53700,53700,53700,53700,53200,53200,52700,52200,52200,51700,51700,51700,52200,52200,NA,"WK"
75,"T0000058","flat",0.0573,384.9507,53200,53700,53700,54100,54600,54600,54600,55100,55100,55100,55100,55100,55600,55100,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,56100,56100,56100,56100,56100,56100,56100,55600,55100,55100,54600,54600,54100,54100,53700,NA,"WK"
76,"T0000058","flat",0.0179,385.177,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76100,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,76600,77100,76600,76600,76600,76600,76600,"WK"
77,"T0000058","step up",0.0414,385.3701,NA,NA,NA,NA,NA,44400,44400,44400,43900,43900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75100,NA,75100,75600,75600,75600,76100,76100,76100,76100,76600,76600,76600,76600,76600,76600,76600,76600,76100,76100,76100,NA,76100,NA,NA,"WK"
