"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"105","unclear",11,"T0000123",158,0.069620253164557,"WK"
"106","flat",1,"T0000140",5,0.2,"SD"
"107","flat-z",0,"T0000140",5,0,"SD"
"108","flat-mz",0,"T0000140",5,0,"SD"
"109","short",4,"T0000140",5,0.8,"SD"
"110","short-su",0,"T0000140",5,0,"SD"
"111","short-sd",0,"T0000140",5,0,"SD"
"112","short-ur",0,"T0000140",5,0,"SD"
"113","short-dr",0,"T0000140",5,0,"SD"
"114","short-c",0,"T0000140",5,0,"SD"
"115","complex",0,"T0000140",5,0,"SD"
"116","upward ramp",0,"T0000140",5,0,"SD"
"117","downward ramp",0,"T0000140",5,0,"SD"
"118","step up",0,"T0000140",5,0,"SD"
"119","step down",0,"T0000140",5,0,"SD"
"120","multi-step",0,"T0000140",5,0,"SD"
"121","multi-step-s",0,"T0000140",5,0,"SD"
"122","trill",0,"T0000140",5,0,"SD"
"123","trill-c",0,"T0000140",5,0,"SD"
"124","trill-f",0,"T0000140",5,0,"SD"
"125","inverted-U",0,"T0000140",5,0,"SD"
"126","unclear",0,"T0000140",5,0,"SD"
"127","flat",2,"T0000154",8,0.25,"SD"
"128","flat-z",1,"T0000154",8,0.125,"SD"
"129","flat-mz",1,"T0000154",8,0.125,"SD"
"130","short",1,"T0000154",8,0.125,"SD"
"131","short-su",0,"T0000154",8,0,"SD"
"132","short-sd",0,"T0000154",8,0,"SD"
"133","short-ur",1,"T0000154",8,0.125,"SD"
"134","short-dr",0,"T0000154",8,0,"SD"
"135","short-c",0,"T0000154",8,0,"SD"
"136","complex",1,"T0000154",8,0.125,"SD"
"137","upward ramp",0,"T0000154",8,0,"SD"
"138","downward ramp",1,"T0000154",8,0.125,"SD"
"139","step up",0,"T0000154",8,0,"SD"
"140","step down",0,"T0000154",8,0,"SD"
"141","multi-step",0,"T0000154",8,0,"SD"
"142","multi-step-s",0,"T0000154",8,0,"SD"
"143","trill",0,"T0000154",8,0,"SD"
"144","trill-c",0,"T0000154",8,0,"SD"
"145","trill-f",0,"T0000154",8,0,"SD"
"146","inverted-U",0,"T0000154",8,0,"SD"
"147","unclear",0,"T0000154",8,0,"SD"
"148","flat",1,"T0000184",2,0.5,"WK"
"149","flat-z",0,"T0000184",2,0,"WK"
"150","flat-mz",0,"T0000184",2,0,"WK"
"151","short",1,"T0000184",2,0.5,"WK"
"152","short-su",0,"T0000184",2,0,"WK"
"153","short-sd",0,"T0000184",2,0,"WK"
"154","short-ur",0,"T0000184",2,0,"WK"
"155","short-dr",0,"T0000184",2,0,"WK"
"156","short-c",0,"T0000184",2,0,"WK"
"157","complex",0,"T0000184",2,0,"WK"
"158","upward ramp",0,"T0000184",2,0,"WK"
"159","downward ramp",0,"T0000184",2,0,"WK"
"160","step up",0,"T0000184",2,0,"WK"
"161","step down",0,"T0000184",2,0,"WK"
"162","multi-step",0,"T0000184",2,0,"WK"
"163","multi-step-s",0,"T0000184",2,0,"WK"
"164","trill",0,"T0000184",2,0,"WK"
"165","trill-c",0,"T0000184",2,0,"WK"
"166","trill-f",0,"T0000184",2,0,"WK"
"167","inverted-U",0,"T0000184",2,0,"WK"
"168","unclear",0,"T0000184",2,0,"WK"
"169","flat",2,"T0000189",7,0.285714285714286,"WK"
"170","flat-z",0,"T0000189",7,0,"WK"
"171","flat-mz",0,"T0000189",7,0,"WK"
"172","short",0,"T0000189",7,0,"WK"
"173","short-su",0,"T0000189",7,0,"WK"
"174","short-sd",0,"T0000189",7,0,"WK"
"175","short-ur",0,"T0000189",7,0,"WK"
"176","short-dr",0,"T0000189",7,0,"WK"
"177","short-c",0,"T0000189",7,0,"WK"
"178","complex",0,"T0000189",7,0,"WK"
"179","upward ramp",0,"T0000189",7,0,"WK"
"180","downward ramp",0,"T0000189",7,0,"WK"
"181","step up",2,"T0000189",7,0.285714285714286,"WK"
"182","step down",0,"T0000189",7,0,"WK"
"183","multi-step",0,"T0000189",7,0,"WK"
"184","multi-step-s",0,"T0000189",7,0,"WK"
"185","trill",3,"T0000189",7,0.428571428571429,"WK"
"186","trill-c",0,"T0000189",7,0,"WK"
"187","trill-f",0,"T0000189",7,0,"WK"
"188","inverted-U",0,"T0000189",7,0,"WK"
"189","unclear",0,"T0000189",7,0,"WK"
"190","flat",74,"T0000194",81,0.91358024691358,"SD"
"191","flat-z",3,"T0000194",81,0.037037037037037,"SD"
"192","flat-mz",0,"T0000194",81,0,"SD"
"193","short",4,"T0000194",81,0.0493827160493827,"SD"
"194","short-su",0,"T0000194",81,0,"SD"
"195","short-sd",0,"T0000194",81,0,"SD"
"196","short-ur",0,"T0000194",81,0,"SD"
"197","short-dr",0,"T0000194",81,0,"SD"
"198","short-c",0,"T0000194",81,0,"SD"
"199","complex",0,"T0000194",81,0,"SD"
"200","upward ramp",0,"T0000194",81,0,"SD"
"201","downward ramp",0,"T0000194",81,0,"SD"
"202","step up",0,"T0000194",81,0,"SD"
"203","step down",0,"T0000194",81,0,"SD"
"204","multi-step",0,"T0000194",81,0,"SD"
"205","multi-step-s",0,"T0000194",81,0,"SD"
"206","trill",0,"T0000194",81,0,"SD"
"207","trill-c",0,"T0000194",81,0,"SD"
"208","trill-f",0,"T0000194",81,0,"SD"
"209","inverted-U",0,"T0000194",81,0,"SD"
"210","unclear",0,"T0000194",81,0,"SD"
"211","flat",7,"T0000241",16,0.4375,"SD"
"212","flat-z",1,"T0000241",16,0.0625,"SD"
"213","flat-mz",0,"T0000241",16,0,"SD"
"214","short",7,"T0000241",16,0.4375,"SD"
"215","short-su",0,"T0000241",16,0,"SD"
"216","short-sd",0,"T0000241",16,0,"SD"
"217","short-ur",0,"T0000241",16,0,"SD"
"218","short-dr",0,"T0000241",16,0,"SD"
"219","short-c",0,"T0000241",16,0,"SD"
"220","complex",1,"T0000241",16,0.0625,"SD"
"221","upward ramp",0,"T0000241",16,0,"SD"
"222","downward ramp",0,"T0000241",16,0,"SD"
"223","step up",0,"T0000241",16,0,"SD"
"224","step down",0,"T0000241",16,0,"SD"
"225","multi-step",0,"T0000241",16,0,"SD"
"226","multi-step-s",0,"T0000241",16,0,"SD"
"227","trill",0,"T0000241",16,0,"SD"
"228","trill-c",0,"T0000241",16,0,"SD"
"229","trill-f",0,"T0000241",16,0,"SD"
"230","inverted-U",0,"T0000241",16,0,"SD"
"231","unclear",0,"T0000241",16,0,"SD"
"232","flat",12,"T0000253",59,0.203389830508475,"SD"
"233","flat-z",0,"T0000253",59,0,"SD"
"234","flat-mz",0,"T0000253",59,0,"SD"
"235","short",9,"T0000253",59,0.152542372881356,"SD"
"236","short-su",0,"T0000253",59,0,"SD"
"237","short-sd",1,"T0000253",59,0.0169491525423729,"SD"
"238","short-ur",0,"T0000253",59,0,"SD"
"239","short-dr",1,"T0000253",59,0.0169491525423729,"SD"
"240","short-c",3,"T0000253",59,0.0508474576271186,"SD"
"241","complex",3,"T0000253",59,0.0508474576271186,"SD"
"242","upward ramp",4,"T0000253",59,0.0677966101694915,"SD"
"243","downward ramp",0,"T0000253",59,0,"SD"
"244","step up",2,"T0000253",59,0.0338983050847458,"SD"
"245","step down",0,"T0000253",59,0,"SD"
"246","multi-step",2,"T0000253",59,0.0338983050847458,"SD"
"247","multi-step-s",3,"T0000253",59,0.0508474576271186,"SD"
"248","trill",10,"T0000253",59,0.169491525423729,"SD"
"249","trill-c",4,"T0000253",59,0.0677966101694915,"SD"
"250","trill-f",3,"T0000253",59,0.0508474576271186,"SD"
"251","inverted-U",0,"T0000253",59,0,"SD"
"252","unclear",2,"T0000253",59,0.0338983050847458,"SD"
"253","flat",9,"T0000302",41,0.219512195121951,"WK"
"254","flat-z",3,"T0000302",41,0.0731707317073171,"WK"
"255","flat-mz",1,"T0000302",41,0.024390243902439,"WK"
"256","short",17,"T0000302",41,0.414634146341463,"WK"
"257","short-su",0,"T0000302",41,0,"WK"
"258","short-sd",0,"T0000302",41,0,"WK"
"259","short-ur",0,"T0000302",41,0,"WK"
"260","short-dr",0,"T0000302",41,0,"WK"
"261","short-c",0,"T0000302",41,0,"WK"
"262","complex",0,"T0000302",41,0,"WK"
"263","upward ramp",0,"T0000302",41,0,"WK"
"264","downward ramp",0,"T0000302",41,0,"WK"
"265","step up",0,"T0000302",41,0,"WK"
"266","step down",0,"T0000302",41,0,"WK"
"267","multi-step",0,"T0000302",41,0,"WK"
"268","multi-step-s",0,"T0000302",41,0,"WK"
"269","trill",1,"T0000302",41,0.024390243902439,"WK"
"270","trill-c",5,"T0000302",41,0.121951219512195,"WK"
"271","trill-f",2,"T0000302",41,0.0487804878048781,"WK"
"272","inverted-U",0,"T0000302",41,0,"WK"
"273","unclear",3,"T0000302",41,0.0731707317073171,"WK"
