"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"208","trill-f",4,"T0000190",599,0.00667779632721202,"WK"
"209","inverted-U",0,"T0000190",599,0,"WK"
"210","unclear",5,"T0000190",599,0.00834724540901502,"WK"
"211","flat",439,"T0000195",625,0.7024,"SD"
"212","flat-z",41,"T0000195",625,0.0656,"SD"
"213","flat-mz",28,"T0000195",625,0.0448,"SD"
"214","short",52,"T0000195",625,0.0832,"SD"
"215","short-su",0,"T0000195",625,0,"SD"
"216","short-sd",0,"T0000195",625,0,"SD"
"217","short-ur",6,"T0000195",625,0.0096,"SD"
"218","short-dr",0,"T0000195",625,0,"SD"
"219","short-c",10,"T0000195",625,0.016,"SD"
"220","complex",21,"T0000195",625,0.0336,"SD"
"221","upward ramp",10,"T0000195",625,0.016,"SD"
"222","downward ramp",1,"T0000195",625,0.0016,"SD"
"223","step up",5,"T0000195",625,0.008,"SD"
"224","step down",6,"T0000195",625,0.0096,"SD"
"225","multi-step",2,"T0000195",625,0.0032,"SD"
"226","multi-step-s",0,"T0000195",625,0,"SD"
"227","trill",3,"T0000195",625,0.0048,"SD"
"228","trill-c",0,"T0000195",625,0,"SD"
"229","trill-f",1,"T0000195",625,0.0016,"SD"
"230","inverted-U",0,"T0000195",625,0,"SD"
"231","unclear",0,"T0000195",625,0,"SD"
"232","flat",131,"T0000228",394,0.33248730964467,"WK"
"233","flat-z",14,"T0000228",394,0.0355329949238579,"WK"
"234","flat-mz",9,"T0000228",394,0.0228426395939086,"WK"
"235","short",88,"T0000228",394,0.223350253807107,"WK"
"236","short-su",0,"T0000228",394,0,"WK"
"237","short-sd",0,"T0000228",394,0,"WK"
"238","short-ur",19,"T0000228",394,0.0482233502538071,"WK"
"239","short-dr",9,"T0000228",394,0.0228426395939086,"WK"
"240","short-c",19,"T0000228",394,0.0482233502538071,"WK"
"241","complex",37,"T0000228",394,0.0939086294416244,"WK"
"242","upward ramp",8,"T0000228",394,0.0203045685279188,"WK"
"243","downward ramp",2,"T0000228",394,0.0050761421319797,"WK"
"244","step up",12,"T0000228",394,0.0304568527918782,"WK"
"245","step down",5,"T0000228",394,0.0126903553299492,"WK"
"246","multi-step",1,"T0000228",394,0.00253807106598985,"WK"
"247","multi-step-s",0,"T0000228",394,0,"WK"
"248","trill",26,"T0000228",394,0.065989847715736,"WK"
"249","trill-c",13,"T0000228",394,0.032994923857868,"WK"
"250","trill-f",1,"T0000228",394,0.00253807106598985,"WK"
"251","inverted-U",0,"T0000228",394,0,"WK"
"252","unclear",0,"T0000228",394,0,"WK"
"253","flat",550,"T0000242",889,0.61867266591676,"SD"
"254","flat-z",49,"T0000242",889,0.0551181102362205,"SD"
"255","flat-mz",31,"T0000242",889,0.0348706411698538,"SD"
"256","short",138,"T0000242",889,0.155230596175478,"SD"
"257","short-su",0,"T0000242",889,0,"SD"
"258","short-sd",0,"T0000242",889,0,"SD"
"259","short-ur",11,"T0000242",889,0.0123734533183352,"SD"
"260","short-dr",3,"T0000242",889,0.00337457817772778,"SD"
"261","short-c",14,"T0000242",889,0.015748031496063,"SD"
"262","complex",26,"T0000242",889,0.0292463442069741,"SD"
"263","upward ramp",9,"T0000242",889,0.0101237345331834,"SD"
"264","downward ramp",4,"T0000242",889,0.00449943757030371,"SD"
"265","step up",6,"T0000242",889,0.00674915635545557,"SD"
