"","label","file.name","recording","strain"
"4259","trill-c","T0000091","MBT","WK"
"4260","trill-c","T0000091","MBT","WK"
"4261","flat","T0000091","MBT","WK"
"4262","short","T0000091","MBT","WK"
"4263","complex","T0000091","MBT","WK"
"4264","short","T0000091","MBT","WK"
"4265","complex","T0000091","MBT","WK"
"4266","flat","T0000091","MBT","WK"
"4267","flat","T0000091","MBT","WK"
"4268","flat","T0000091","MBT","WK"
"4269","flat","T0000091","MBT","WK"
"4270","flat under flat","T0000091","MBT","WK"
"4271","flat undr falt undr short NOIS","T0000091","MBT","WK"
"4272","flat","T0000091","MBT","WK"
"4273","flat-z","T0000091","MBT","WK"
"4274","step down","T0000091","MBT","WK"
"4275","flat-z","T0000091","MBT","WK"
"4276","flat-mz","T0000091","MBT","WK"
"4277","flat","T0000091","MBT","WK"
"4278","complex","T0000091","MBT","WK"
"4279","flat","T0000091","MBT","WK"
"4280","flat","T0000091","MBT","WK"
"4281","flat-z","T0000091","MBT","WK"
"4282","complex","T0000091","MBT","WK"
"4283","flat","T0000091","MBT","WK"
"4284","flat","T0000091","MBT","WK"
"4285","flat","T0000091","MBT","WK"
"4286","flat","T0000091","MBT","WK"
"4287","step up","T0000091","MBT","WK"
"4288","complex","T0000091","MBT","WK"
"4289","flat","T0000091","MBT","WK"
"4290","flat","T0000091","MBT","WK"
"4291","flat","T0000091","MBT","WK"
"4292","flat","T0000091","MBT","WK"
"4293","inverted-U","T0000091","MBT","WK"
"4294","flat","T0000091","MBT","WK"
"4295","short","T0000091","MBT","WK"
"4296","short","T0000091","MBT","WK"
"4297","complex","T0000091","MBT","WK"
"4298","flat","T0000091","MBT","WK"
"4299","flat","T0000091","MBT","WK"
"4300","flat","T0000091","MBT","WK"
"4301","short","T0000091","MBT","WK"
"4302","flat","T0000091","MBT","WK"
"4303","short","T0000091","MBT","WK"
"4304","flat","T0000091","MBT","WK"
"4305","trill","T0000091","MBT","WK"
"4306","flat","T0000091","MBT","WK"
"4307","short","T0000091","MBT","WK"
"4308","short","T0000091","MBT","WK"
"4309","short-c","T0000091","MBT","WK"
"4310","multi-step","T0000091","MBT","WK"
"4311","flat","T0000091","MBT","WK"
"4312","short","T0000091","MBT","WK"
"4313","flat","T0000091","MBT","WK"
"4314","flat","T0000091","MBT","WK"
"4315","flat","T0000091","MBT","WK"
"4316","flat","T0000091","MBT","WK"
"4317","short","T0000091","MBT","WK"
"4318","short","T0000091","MBT","WK"
"4319","flat","T0000091","MBT","WK"
"4320","complex","T0000091","MBT","WK"
"4321","flat","T0000091","MBT","WK"
"4322","flat","T0000091","MBT","WK"
"4323","short","T0000091","MBT","WK"
"4324","step up","T0000091","MBT","WK"
"4325","flat","T0000091","MBT","WK"
"4326","short","T0000091","MBT","WK"
"4327","flat-z","T0000091","MBT","WK"
"4328","unclear","T0000091","MBT","WK"
"4329","short","T0000091","MBT","WK"
"4330","short","T0000091","MBT","WK"
"4331","trill","T0000091","MBT","WK"
"4332","trill-f","T0000091","MBT","WK"
"4333","short","T0000091","MBT","WK"
"4334","flat-z","T0000091","MBT","WK"
"4335","flat","T0000091","MBT","WK"
"4336","flat & short","T0000091","MBT","WK"
"4337","flat","T0000091","MBT","WK"
"4338","flat","T0000091","MBT","WK"
"4339","step up","T0000091","MBT","WK"
"4340","flat","T0000091","MBT","WK"
"4341","short","T0000091","MBT","WK"
"4342","trill","T0000091","MBT","WK"
"4343","flat","T0000091","MBT","WK"
"4344","trill-c","T0000091","MBT","WK"
"4345","flat","T0000091","MBT","WK"
"4346","short","T0000091","MBT","WK"
"4347","flat","T0000091","MBT","WK"
"4348","flat","T0000091","MBT","WK"
"4349","complex & step down","T0000091","MBT","WK"
"4350","flat","T0000091","MBT","WK"
"4351","flat","T0000091","MBT","WK"
"4352","flat-z","T0000091","MBT","WK"
"4353","flat","T0000091","MBT","WK"
"4354","flat-z","T0000091","MBT","WK"
"4355","step up","T0000091","MBT","WK"
"4356","step up","T0000091","MBT","WK"
"4357","flat-z","T0000091","MBT","WK"
"4358","step up","T0000091","MBT","WK"
"4359","flat","T0000091","MBT","WK"
"4360","flat","T0000091","MBT","WK"
"4361","flat","T0000091","MBT","WK"
"4362","flat","T0000091","MBT","WK"
"4363","flat-z","T0000091","MBT","WK"
"4364","flat","T0000091","MBT","WK"
"4365","flat-mz","T0000091","MBT","WK"
"4366","short","T0000091","MBT","WK"
"4367","flat","T0000091","MBT","WK"
"4368","flat","T0000091","MBT","WK"
"4369","short - noise","T0000091","MBT","WK"
"4370","flat-z","T0000091","MBT","WK"
"4371","flat-mz","T0000091","MBT","WK"
"4372","flat","T0000091","MBT","WK"
"4373","flat-z","T0000091","MBT","WK"
"4374","step up","T0000091","MBT","WK"
"4375","flat","T0000091","MBT","WK"
"4376","short","T0000091","MBT","WK"
"4377","short","T0000091","MBT","WK"
"4378","flat","T0000091","MBT","WK"
"4379","step up","T0000091","MBT","WK"
"4380","short-c","T0000091","MBT","WK"
"4381","flat","T0000091","MBT","WK"
"4382","flat","T0000091","MBT","WK"
"4383","short","T0000091","MBT","WK"
"4384","short","T0000091","MBT","WK"
"4385","short","T0000091","MBT","WK"
"4386","flat","T0000091","MBT","WK"
"4387","flat","T0000091","MBT","WK"
"4388","short-ur","T0000091","MBT","WK"
"4389","short","T0000091","MBT","WK"
"4390","short","T0000091","MBT","WK"
"4391","step up","T0000091","MBT","WK"
"4392","flat","T0000091","MBT","WK"
"4393","flat","T0000091","MBT","WK"
"4394","short","T0000091","MBT","WK"
"4395","flat","T0000091","MBT","WK"
"4396","flat","T0000091","MBT","WK"
"4397","flat","T0000091","MBT","WK"
"4398","flat","T0000091","MBT","WK"
"4399","inverted - U","T0000091","MBT","WK"
"4400","short","T0000091","MBT","WK"
"4401","flat-z","T0000091","MBT","WK"
"4402","flat","T0000091","MBT","WK"
"4403","flat","T0000091","MBT","WK"
"4404","flat","T0000091","MBT","WK"
"4405","flat","T0000091","MBT","WK"
"4406","flat","T0000091","MBT","WK"
"4407","short","T0000091","MBT","WK"
"4408","complex","T0000091","MBT","WK"
"4409","unclear","T0000091","MBT","WK"
"4410","flat","T0000091","MBT","WK"
"4411","flat","T0000091","MBT","WK"
"4412","short-c","T0000091","MBT","WK"
"4413","short","T0000091","MBT","WK"
"4414","step up","T0000091","MBT","WK"
"4415","flat","T0000091","MBT","WK"
"4416","flat","T0000091","MBT","WK"
"4417","flat","T0000091","MBT","WK"
"4418","flat","T0000091","MBT","WK"
"4419","flat","T0000091","MBT","WK"
"4420","flat","T0000091","MBT","WK"
"4421","short","T0000091","MBT","WK"
"4422","flat","T0000091","MBT","WK"
"4423","flat","T0000091","MBT","WK"
"4424","flat","T0000091","MBT","WK"
"4425","flat","T0000091","MBT","WK"
"4426","flat","T0000091","MBT","WK"
"4427","flat","T0000091","MBT","WK"
"4428","flat","T0000091","MBT","WK"
"4429","flat","T0000091","MBT","WK"
"4430","flat","T0000091","MBT","WK"
"4431","short","T0000091","MBT","WK"
"4432","flat","T0000091","MBT","WK"
"4433","flat","T0000092","Fpupiso","WK"
"4434","flat","T0000092","Fpupiso","WK"
"4435","flat","T0000092","Fpupiso","WK"
"4436","flat","T0000092","Fpupiso","WK"
"4437","flat","T0000092","Fpupiso","WK"
"4438","flat-z","T0000092","Fpupiso","WK"
"4439","flat","T0000092","Fpupiso","WK"
"4440","flat-z","T0000092","Fpupiso","WK"
"4441","flat","T0000092","Fpupiso","WK"
"4442","flat","T0000092","Fpupiso","WK"
"4443","flat-z","T0000092","Fpupiso","WK"
"4444","flat","T0000092","Fpupiso","WK"
"4445","flat-z","T0000092","Fpupiso","WK"
"4446","flat-z","T0000092","Fpupiso","WK"
"4447","flat-z","T0000092","Fpupiso","WK"
"4448","flat-z","T0000092","Fpupiso","WK"
"4449","flat-mz","T0000092","Fpupiso","WK"
"4450","flat-z","T0000092","Fpupiso","WK"
"4451","flat-mz","T0000092","Fpupiso","WK"
"4452","flat-z","T0000092","Fpupiso","WK"
"4453","flat-z","T0000092","Fpupiso","WK"
"4454","step up","T0000092","Fpupiso","WK"
"4455","flat-z","T0000092","Fpupiso","WK"
"4456","flat-z","T0000092","Fpupiso","WK"
"4457","flat","T0000092","Fpupiso","WK"
"4458","short","T0000092","Fpupiso","WK"
"4459","flat","T0000092","Fpupiso","WK"
"4460","flat","T0000092","Fpupiso","WK"
"4461","flat","T0000092","Fpupiso","WK"
"4462","flat","T0000092","Fpupiso","WK"
"4463","flat-z","T0000092","Fpupiso","WK"
"4464","flat","T0000092","Fpupiso","WK"
"4465","flat","T0000092","Fpupiso","WK"
"4466","flat","T0000092","Fpupiso","WK"
"4467","flat","T0000092","Fpupiso","WK"
"4468","flat","T0000092","Fpupiso","WK"
"4469","flat","T0000092","Fpupiso","WK"
"4470","flat","T0000092","Fpupiso","WK"
"4471","flat-z","T0000092","Fpupiso","WK"
"4472","flat","T0000092","Fpupiso","WK"
"4473","flat-mz","T0000092","Fpupiso","WK"
"4474","step up","T0000092","Fpupiso","WK"
"4475","flat","T0000092","Fpupiso","WK"
"4476","flat-z","T0000092","Fpupiso","WK"
"4477","flat-z","T0000092","Fpupiso","WK"
"4478","flat","T0000092","Fpupiso","WK"
"4479","short","T0000092","Fpupiso","WK"
"4480","flat-z","T0000093","Mpupiso","WK"
"4481","flatonicx","T0000093","Mpupiso","WK"
"4482","flat-z","T0000093","Mpupiso","WK"
"4483","flat-z","T0000093","Mpupiso","WK"
"4484","flat","T0000093","Mpupiso","WK"
"4485","short","T0000093","Mpupiso","WK"
"4486","flatonicx","T0000093","Mpupiso","WK"
"4487","short","T0000093","Mpupiso","WK"
"4488","short-c","T0000093","Mpupiso","WK"
"4489","flat","T0000093","Mpupiso","WK"
"4490","short","T0000093","Mpupiso","WK"
"4491","short-c","T0000093","Mpupiso","WK"
"4492","short-c","T0000093","Mpupiso","WK"
"4493","flat","T0000093","Mpupiso","WK"
"4494","short","T0000093","Mpupiso","WK"
"4495","flat-z","T0000093","Mpupiso","WK"
"4496","short","T0000093","Mpupiso","WK"
"4497","flat","T0000093","Mpupiso","WK"
"4498","flat","T0000093","Mpupiso","WK"
"4499","flat-z","T0000093","Mpupiso","WK"
"4500","flat","T0000093","Mpupiso","WK"
"4501","short","T0000093","Mpupiso","WK"
"4502","downward ramp","T0000093","Mpupiso","WK"
"4503","flat","T0000093","Mpupiso","WK"
"4504","flatonic","T0000093","Mpupiso","WK"
"4505","flat-z","T0000093","Mpupiso","WK"
"4506","flatonicx","T0000093","Mpupiso","WK"
"4507","flatonicx","T0000093","Mpupiso","WK"
"4508","short","T0000093","Mpupiso","WK"
"4509","flatonicx","T0000093","Mpupiso","WK"
"4510","short","T0000093","Mpupiso","WK"
"4511","short-c","T0000093","Mpupiso","WK"
"4512","short","T0000093","Mpupiso","WK"
"4513","short-ur","T0000093","Mpupiso","WK"
"4514","short-c","T0000093","Mpupiso","WK"
"4515","short","T0000093","Mpupiso","WK"
"4516","short","T0000093","Mpupiso","WK"
"4517","step up","T0000093","Mpupiso","WK"
"4518","short-c","T0000093","Mpupiso","WK"
"4519","short","T0000093","Mpupiso","WK"
"4520","short","T0000093","Mpupiso","WK"
"4521","short","T0000093","Mpupiso","WK"
"4522","flat","T0000093","Mpupiso","WK"
"4523","flatonic","T0000093","Mpupiso","WK"
"4524","short","T0000093","Mpupiso","WK"
"4525","flat-mz","T0000093","Mpupiso","WK"
"4526","flatonicx","T0000093","Mpupiso","WK"
"4527","flat","T0000093","Mpupiso","WK"
"4528","flatonicx","T0000093","Mpupiso","WK"
"4529","inverted-u","T0000093","Mpupiso","WK"
"4530","short-ur","T0000093","Mpupiso","WK"
"4531","short","T0000093","Mpupiso","WK"
"4532","short-c","T0000093","Mpupiso","WK"
"4533","flat","T0000093","Mpupiso","WK"
"4534","short-c","T0000093","Mpupiso","WK"
"4535","flat","T0000093","Mpupiso","WK"
"4536","short-c","T0000093","Mpupiso","WK"
"4537","short","T0000093","Mpupiso","WK"
"4538","flat","T0000093","Mpupiso","WK"
"4539","flatonicx","T0000093","Mpupiso","WK"
"4540","short","T0000093","Mpupiso","WK"
"4541","short","T0000093","Mpupiso","WK"
"4542","short-c","T0000093","Mpupiso","WK"
"4543","flat-mz","T0000093","Mpupiso","WK"
"4544","flatonic","T0000093","Mpupiso","WK"
"4545","flat-mz","T0000093","Mpupiso","WK"
"4546","flat","T0000093","Mpupiso","WK"
"4547","flat","T0000093","Mpupiso","WK"
"4548","flat","T0000093","Mpupiso","WK"
"4549","flat","T0000093","Mpupiso","WK"
"4550","flat","T0000093","Mpupiso","WK"
"4551","flat","T0000093","Mpupiso","WK"
"4552","flat","T0000093","Mpupiso","WK"
"4553","flat-z","T0000093","Mpupiso","WK"
"4554","flat","T0000093","Mpupiso","WK"
"4555","flat-z","T0000093","Mpupiso","WK"
"4556","flat","T0000093","Mpupiso","WK"
"4557","flat","T0000093","Mpupiso","WK"
"4558","flat","T0000093","Mpupiso","WK"
"4559","flat","T0000093","Mpupiso","WK"
"4560","flat","T0000093","Mpupiso","WK"
"4561","flat","T0000093","Mpupiso","WK"
"4562","flat-z under flat","T0000096","MBT","WK"
"4563","flat-z","T0000096","MBT","WK"
"4564","flat-z","T0000096","MBT","WK"
"4565","flat-z","T0000096","MBT","WK"
"4566","flat-mz over flat-z","T0000096","MBT","WK"
"4567","flat","T0000096","MBT","WK"
"4568","downward ramp over flat","T0000096","MBT","WK"
"4569","flat under downward ramp","T0000096","MBT","WK"
"4570","complex","T0000096","MBT","WK"
"4571","downward ramp","T0000096","MBT","WK"
"4572","downward ramp","T0000096","MBT","WK"
"4573","downward ramp","T0000096","MBT","WK"
"4574","downward ramp","T0000096","MBT","WK"
"4575","downward ramp","T0000096","MBT","WK"
"4576","short","T0000096","MBT","WK"
"4577","downward ramp","T0000096","MBT","WK"
"4578","downward ramp","T0000096","MBT","WK"
"4579","flat","T0000096","MBT","WK"
"4580","flat under flat","T0000096","MBT","WK"
"4581","short","T0000096","MBT","WK"
"4582","flat under downward ramp","T0000096","MBT","WK"
"4583","flat under flat-z","T0000096","MBT","WK"
"4584","flat under flat-z","T0000096","MBT","WK"
"4585","flat under downward ramp","T0000096","MBT","WK"
"4586","flat","T0000096","MBT","WK"
"4587","short","T0000096","MBT","WK"
"4588","flat-z","T0000096","MBT","WK"
"4589","flat-z","T0000096","MBT","WK"
"4590","flat-mz","T0000096","MBT","WK"
"4591","flat-z","T0000096","MBT","WK"
"4592","flat-z","T0000096","MBT","WK"
"4593","short","T0000096","MBT","WK"
"4594","flat","T0000096","MBT","WK"
"4595","short","T0000096","MBT","WK"
"4596","short","T0000096","MBT","WK"
"4597","flat","T0000096","MBT","WK"
"4598","flat","T0000096","MBT","WK"
"4599","flat-z","T0000096","MBT","WK"
"4600","flat-z","T0000096","MBT","WK"
"4601","flat","T0000096","MBT","WK"
"4602","downward ramp","T0000096","MBT","WK"
"4603","flat","T0000096","MBT","WK"
"4604","flat","T0000096","MBT","WK"
"4605","flat","T0000096","MBT","WK"
"4606","flat","T0000096","MBT","WK"
"4607","flat","T0000096","MBT","WK"
"4608","flat-z","T0000096","MBT","WK"
"4609","short","T0000096","MBT","WK"
"4610","short","T0000096","MBT","WK"
"4611","flat-z","T0000096","MBT","WK"
"4612","short","T0000096","MBT","WK"
"4613","trill","T0000096","MBT","WK"
"4614","trill","T0000096","MBT","WK"
"4615","flat","T0000096","MBT","WK"
"4616","trill","T0000096","MBT","WK"
"4617","flat-z","T0000096","MBT","WK"
"4618","flat-z","T0000096","MBT","WK"
"4619","flat-z","T0000096","MBT","WK"
"4620","flat-z","T0000096","MBT","WK"
"4621","flat","T0000096","MBT","WK"
"4622","flat-z","T0000096","MBT","WK"
"4623","trill","T0000096","MBT","WK"
"4624","short","T0000096","MBT","WK"
"4625","flat","T0000096","MBT","WK"
"4626","flat","T0000096","MBT","WK"
"4627","flat-z","T0000096","MBT","WK"
"4628","trill-c","T0000096","MBT","WK"
"4629","flat","T0000096","MBT","WK"
"4630","trill-c","T0000096","MBT","WK"
"4631","short","T0000096","MBT","WK"
"4632","trill","T0000096","MBT","WK"
"4633","short","T0000096","MBT","WK"
"4634","trill","T0000096","MBT","WK"
"4635","trill over flat","T0000096","MBT","WK"
"4636","flat-z","T0000096","MBT","WK"
"4637","flat-z","T0000096","MBT","WK"
"4638","trill","T0000096","MBT","WK"
"4639","flat","T0000096","MBT","WK"
"4640","downward ramp","T0000096","MBT","WK"
"4641","flat-z under short","T0000096","MBT","WK"
"4642","downward ramp","T0000096","MBT","WK"
"4643","downward ramp","T0000096","MBT","WK"
"4644","flat-z","T0000096","MBT","WK"
"4645","flat-z","T0000096","MBT","WK"
"4646","flat-z","T0000096","MBT","WK"
"4647","flat-z","T0000096","MBT","WK"
"4648","trill-f","T0000096","MBT","WK"
"4649","downward ramp","T0000096","MBT","WK"
"4650","flat","T0000096","MBT","WK"
"4651","downward ramp","T0000096","MBT","WK"
"4652","trill-f","T0000096","MBT","WK"
"4653","flat","T0000096","MBT","WK"
"4654","flat-z","T0000096","MBT","WK"
"4655","downward ramponic","T0000096","MBT","WK"
"4656","flat-z","T0000096","MBT","WK"
"4657","flat-z trill","T0000096","MBT","WK"
"4658","flat-z","T0000096","MBT","WK"
"4659","flat-z und trill-","T0000096","MBT","WK"
"4660","trill","T0000096","MBT","WK"
"4661","flat-z","T0000096","MBT","WK"
"4662","flat-z","T0000096","MBT","WK"
"4663","trill","T0000096","MBT","WK"
"4664","trill","T0000096","MBT","WK"
"4665","flat","T0000096","MBT","WK"
"4666","trill","T0000096","MBT","WK"
"4667","trill-c","T0000096","MBT","WK"
"4668","flat","T0000096","MBT","WK"
"4669","trill","T0000096","MBT","WK"
"4670","short","T0000096","MBT","WK"
"4671","short","T0000096","MBT","WK"
"4672","short-c","T0000096","MBT","WK"
"4673","trill","T0000096","MBT","WK"
"4674","step up","T0000096","MBT","WK"
"4675","short","T0000096","MBT","WK"
"4676","short","T0000096","MBT","WK"
"4677","flat-z","T0000096","MBT","WK"
"4678","flat-z","T0000096","MBT","WK"
"4679","short-c","T0000096","MBT","WK"
"4680","complex","T0000096","MBT","WK"
"4681","short","T0000096","MBT","WK"
"4682","trill","T0000096","MBT","WK"
"4683","flat","T0000096","MBT","WK"
"4684","complex","T0000096","MBT","WK"
"4685","trill","T0000096","MBT","WK"
"4686","downward ramp","T0000096","MBT","WK"
"4687","flat","T0000096","MBT","WK"
"4688","trill","T0000096","MBT","WK"
"4689","complex","T0000096","MBT","WK"
"4690","complex","T0000096","MBT","WK"
"4691","complex und trill","T0000096","MBT","WK"
"4692","flat under trill","T0000096","MBT","WK"
"4693","flat-z","T0000096","MBT","WK"
"4694","flat","T0000096","MBT","WK"
"4695","flat-z under trill","T0000096","MBT","WK"
"4696","short","T0000096","MBT","WK"
"4697","flat-z","T0000096","MBT","WK"
"4698","flat-z","T0000096","MBT","WK"
"4699","flat-z","T0000096","MBT","WK"
"4700","downward ramp","T0000096","MBT","WK"
"4701","short","T0000096","MBT","WK"
"4702","flat-z","T0000096","MBT","WK"
"4703","flat-z","T0000096","MBT","WK"
"4704","flat-z","T0000096","MBT","WK"
"4705","flat-z","T0000096","MBT","WK"
"4706","flat","T0000096","MBT","WK"
"4707","flat","T0000096","MBT","WK"
"4708","flat","T0000096","MBT","WK"
"4709","flat under flat","T0000096","MBT","WK"
"4710","short","T0000096","MBT","WK"
"4711","flat","T0000096","MBT","WK"
"4712","short","T0000096","MBT","WK"
"4713","trill","T0000096","MBT","WK"
"4714","trill","T0000096","MBT","WK"
"4715","flat","T0000096","MBT","WK"
"4716","short","T0000096","MBT","WK"
"4717","short","T0000096","MBT","WK"
"4718","flat","T0000096","MBT","WK"
"4719","upward ramp","T0000096","MBT","WK"
"4720","trill","T0000096","MBT","WK"
"4721","trill","T0000096","MBT","WK"
"4722","trill-c","T0000096","MBT","WK"
"4723","trill","T0000096","MBT","WK"
"4724","trill","T0000096","MBT","WK"
"4725","trill","T0000096","MBT","WK"
"4726","trill","T0000096","MBT","WK"
"4727","trill","T0000096","MBT","WK"
"4728","trill","T0000096","MBT","WK"
"4729","trill","T0000096","MBT","WK"
"4730","trill","T0000096","MBT","WK"
"4731","trill","T0000096","MBT","WK"
"4732","trill-c","T0000096","MBT","WK"
"4733","flat","T0000096","MBT","WK"
"4734","flat","T0000096","MBT","WK"
"4735","trill","T0000096","MBT","WK"
"4736","trill","T0000096","MBT","WK"
"4737","trill-c","T0000096","MBT","WK"
"4738","trill","T0000096","MBT","WK"
"4739","trill","T0000096","MBT","WK"
"4740","trill","T0000096","MBT","WK"
"4741","trill","T0000096","MBT","WK"
"4742","short","T0000096","MBT","WK"
"4743","trill","T0000096","MBT","WK"
"4744","flat","T0000096","MBT","WK"
"4745","trill","T0000096","MBT","WK"
"4746","trill","T0000096","MBT","WK"
"4747","short","T0000096","MBT","WK"
"4748","flat","T0000096","MBT","WK"
"4749","short","T0000096","MBT","WK"
"4750","flat","T0000096","MBT","WK"
"4751","trill","T0000096","MBT","WK"
"4752","short","T0000096","MBT","WK"
"4753","trill","T0000096","MBT","WK"
"4754","trill-c","T0000096","MBT","WK"
"4755","trill-c","T0000096","MBT","WK"
"4756","trill","T0000096","MBT","WK"
"4757","trill","T0000096","MBT","WK"
"4758","trill","T0000096","MBT","WK"
"4759","trill","T0000096","MBT","WK"
"4760","trill","T0000096","MBT","WK"
"4761","trill","T0000096","MBT","WK"
"4762","short","T0000096","MBT","WK"
"4763","short","T0000096","MBT","WK"
"4764","short","T0000096","MBT","WK"
"4765","short","T0000096","MBT","WK"
"4766","trill","T0000096","MBT","WK"
"4767","trill","T0000096","MBT","WK"
"4768","trill","T0000096","MBT","WK"
"4769","complex","T0000096","MBT","WK"
"4770","flat","T0000096","MBT","WK"
"4771","short","T0000096","MBT","WK"
"4772","flat-z","T0000096","MBT","WK"
"4773","flat-z","T0000096","MBT","WK"
"4774","trill","T0000096","MBT","WK"
"4775","flat","T0000096","MBT","WK"
"4776","trill","T0000096","MBT","WK"
"4777","short","T0000096","MBT","WK"
"4778","flat under trill","T0000096","MBT","WK"
"4779","short","T0000096","MBT","WK"
"4780","flat","T0000096","MBT","WK"
"4781","flat","T0000096","MBT","WK"
"4782","trill","T0000096","MBT","WK"
"4783","trill","T0000096","MBT","WK"
"4784","short","T0000096","MBT","WK"
"4785","short","T0000096","MBT","WK"
"4786","flat","T0000096","MBT","WK"
"4787","short","T0000096","MBT","WK"
"4788","flat","T0000096","MBT","WK"
"4789","flat","T0000096","MBT","WK"
"4790","complex","T0000096","MBT","WK"
"4791","short","T0000096","MBT","WK"
"4792","step up","T0000096","MBT","WK"
"4793","flat","T0000096","MBT","WK"
"4794","flat","T0000096","MBT","WK"
"4795","short","T0000096","MBT","WK"
"4796","complex","T0000096","MBT","WK"
"4797","short","T0000096","MBT","WK"
"4798","short","T0000096","MBT","WK"
"4799","trill","T0000096","MBT","WK"
"4800","short-c","T0000096","MBT","WK"
"4801","short","T0000096","MBT","WK"
"4802","short","T0000096","MBT","WK"
"4803","short","T0000096","MBT","WK"
"4804","short-c","T0000096","MBT","WK"
"4805","flat","T0000096","MBT","WK"
"4806","flat","T0000096","MBT","WK"
"4807","complex","T0000096","MBT","WK"
"4808","short","T0000096","MBT","WK"
"4809","flat","T0000096","MBT","WK"
"4810","flat","T0000096","MBT","WK"
"4811","flat-z","T0000096","MBT","WK"
"4812","short","T0000096","MBT","WK"
"4813","unclear","T0000096","MBT","WK"
"4814","short","T0000096","MBT","WK"
"4815","flat","T0000096","MBT","WK"
"4816","flat","T0000096","MBT","WK"
"4817","short","T0000096","MBT","WK"
"4818","flat","T0000096","MBT","WK"
"4819","short","T0000096","MBT","WK"
"4820","short","T0000096","MBT","WK"
"4821","short","T0000096","MBT","WK"
"4822","flat","T0000096","MBT","WK"
"4823","short","T0000096","MBT","WK"
"4824","step down","T0000096","MBT","WK"
"4825","flat","T0000096","MBT","WK"
"4826","flat","T0000096","MBT","WK"
"4827","unclear","T0000096","MBT","WK"
"4828","unclear","T0000096","MBT","WK"
"4829","step down","T0000096","MBT","WK"
"4830","flat","T0000096","MBT","WK"
"4831","inverted-u","T0000096","MBT","WK"
"4832","short","T0000096","MBT","WK"
"4833","flat","T0000096","MBT","WK"
"4834","short","T0000096","MBT","WK"
"4835","short-c","T0000096","MBT","WK"
"4836","flat","T0000096","MBT","WK"
"4837","unclear","T0000096","MBT","WK"
"4838","trill","T0000096","MBT","WK"
"4839","short","T0000096","MBT","WK"
"4840","flat","T0000096","MBT","WK"
"4841","inverted-u","T0000096","MBT","WK"
"4842","complex","T0000096","MBT","WK"
"4843","complex","T0000096","MBT","WK"
"4844","complex","T0000096","MBT","WK"
"4845","short","T0000096","MBT","WK"
"4846","flat","T0000096","MBT","WK"
"4847","short","T0000096","MBT","WK"
"4848","flat","T0000096","MBT","WK"
"4849","short","T0000096","MBT","WK"
"4850","short","T0000096","MBT","WK"
"4851","short","T0000096","MBT","WK"
"4852","short","T0000096","MBT","WK"
"4853","short","T0000096","MBT","WK"
"4854","short","T0000096","MBT","WK"
"4855","short-su","T0000096","MBT","WK"
"4856","flat","T0000096","MBT","WK"
"4857","short","T0000096","MBT","WK"
"4858","short","T0000096","MBT","WK"
"4859","short","T0000096","MBT","WK"
"4860","flat under short","T0000096","MBT","WK"
"4861","short-ur","T0000096","MBT","WK"
"4862","flat","T0000096","MBT","WK"
"4863","flat","T0000096","MBT","WK"
"4864","short","T0000096","MBT","WK"
"4865","flat-z","T0000096","MBT","WK"
"4866","flat","T0000096","MBT","WK"
"4867","flat","T0000096","MBT","WK"
"4868","flat","T0000096","MBT","WK"
"4869","downward ramp","T0000096","MBT","WK"
"4870","short","T0000096","MBT","WK"
"4871","short","T0000096","MBT","WK"
"4872","downward ramp","T0000096","MBT","WK"
"4873","short","T0000096","MBT","WK"
"4874","short","T0000096","MBT","WK"
"4875","short","T0000096","MBT","WK"
"4876","short","T0000096","MBT","WK"
"4877","short","T0000096","MBT","WK"
"4878","short","T0000096","MBT","WK"
"4879","short","T0000096","MBT","WK"
"4880","short","T0000096","MBT","WK"
"4881","short","T0000096","MBT","WK"
"4882","flat","T0000096","MBT","WK"
"4883","short","T0000096","MBT","WK"
"4884","flat","T0000096","MBT","WK"
"4885","short","T0000096","MBT","WK"
"4886","flatonic","T0000097","Fpupiso","WK"
"4887","flatonic","T0000097","Fpupiso","WK"
"4888","flatonic","T0000097","Fpupiso","WK"
"4889","flat","T0000097","Fpupiso","WK"
"4890","flatonic","T0000097","Fpupiso","WK"
"4891","flat","T0000097","Fpupiso","WK"
"4892","flatonic","T0000097","Fpupiso","WK"
"4893","flatonic","T0000097","Fpupiso","WK"
"4894","flatonic","T0000097","Fpupiso","WK"
"4895","flat","T0000097","Fpupiso","WK"
"4896","flatonic","T0000097","Fpupiso","WK"
"4897","flat","T0000097","Fpupiso","WK"
"4898","flat","T0000097","Fpupiso","WK"
"4899","flatonic","T0000097","Fpupiso","WK"
"4900","flatonic","T0000097","Fpupiso","WK"
"4901","flatonic","T0000097","Fpupiso","WK"
"4902","flat","T0000097","Fpupiso","WK"
"4903","flatonic","T0000097","Fpupiso","WK"
"4904","flat","T0000097","Fpupiso","WK"
"4905","flatonic","T0000097","Fpupiso","WK"
"4906","flatonic","T0000097","Fpupiso","WK"
"4907","flat-z","T0000097","Fpupiso","WK"
"4908","flat","T0000097","Fpupiso","WK"
"4909","flat","T0000097","Fpupiso","WK"
"4910","flatonic","T0000097","Fpupiso","WK"
"4911","flat","T0000097","Fpupiso","WK"
"4912","flatonic","T0000097","Fpupiso","WK"
"4913","flatonic","T0000097","Fpupiso","WK"
"4914","flat","T0000097","Fpupiso","WK"
"4915","flat","T0000097","Fpupiso","WK"
